query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7622515"", ""7305139"", ""7206684"", ""7555272"", ""7492132"", ""7924840"", ""1335588"", ""7659466"", ""7853204"", ""7272695""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7105678"", ""7858842"", ""1878861"", ""7152404"", ""7028429"", ""7085238"", ""7318694"", ""7619153"", ""7826216""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7670160"", ""7452987"", ""663950"", ""7679596"", ""1033337"", ""7089741"", ""7455776"", ""7164210"", ""1163812"", ""4973544""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7272684"", ""4191529"", ""7211811"", ""7606531"", ""7148904"", ""4591673"", ""7828735"", ""7480666"", ""7598541""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""5584747"", ""7531239"", ""7112652"", ""5440644"", ""7512430"", ""7674001"", ""7465923"", ""7533102"", ""7325629"", ""7737244""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7789644"", ""7287434"", ""7490735"", ""1757350"", ""7329333"", ""4506030"", ""7792499"", ""7239171"", ""6125530""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""7100389"", ""7787994"", ""7216092"", ""991142"", ""1455862"", ""7830190"", ""7738446"", ""2468148""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""67588"", ""7763140"", ""7200796"", ""7105483"", ""7907440"", ""8003099"", ""67596"", ""7082559"", ""7907439""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7929230"", ""7458932"", ""7107654"", ""7240603"", ""7696612"", ""7777896""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7124323"", ""7888038"", ""7286801"", ""7846757"", ""7287518"", ""7121598"", ""7451471"", ""7880839"", ""7877828""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""7621537"", ""7929939"", ""7309353"", ""7943897"", ""804081"", ""3166969"", ""7150228"", ""7614573"", ""7568477""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7998086"", ""7915135"", ""7240126"", ""7239751"", ""7937435"", ""7091598"", ""7274366"", ""7907074"", ""7625523""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433792"", ""7695522"", ""7771662"", ""3748377"", ""7196833"", ""7597758"", ""7510610"", ""7728289"", ""7392437"", ""7380886""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7410122"", ""7204196"", ""7095708"", ""256757"", ""7438631"", ""166256"", ""7086985"", ""7853910"", ""7236525""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""7311939"", ""609254"", ""7187607"", ""3041398"", ""2951555"", ""7678643""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7421911"", ""7597656"", ""7170449"", ""7246698"", ""7857342"", ""7171569"", ""7814282"", ""7766841"", ""1699500""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7214220"", ""3429513"", ""7676511"", ""7843451"", ""7742103"", ""2358879"", ""7899750"", ""7253685"", ""7958213"", ""7554646""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""7132199"", ""5006012"", ""7493514"", ""1903885"", ""7459621"", ""4696351"", ""651395"", ""7537844""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""1501464"", ""7380886"", ""7510610"", ""7105534"", ""7332142"", ""4291627"", ""7383191"", ""7826584"", ""7196833""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7996617"", ""7916888"", ""7645183"", ""7155303"", ""7384736"", ""7543353"", ""7523563"", ""7098122"", ""7553470""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7773767"", ""7959617"", ""7902044"", ""7278395"", ""7983669"", ""7394614"", ""7107894"", ""7380649""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7167740"", ""3799029"", ""7358369"", ""7900321"", ""5898158"", ""6395661"", ""7599232"", ""7811094"", ""7234193""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""7879331"", ""7138432"", ""7992165"", ""7106317"", ""7843451"", ""7461249"", ""7181095"", ""7531622"", ""7436481""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""7563235"", ""7096348"", ""1616468"", ""7249833"", ""2336191"", ""77985"", ""7440310"", ""2173490"", ""7566992"", ""7325989""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""7567998"", ""1460244"", ""3545260"", ""7156891"", ""7584607"", ""7647265"", ""7070008""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7547152"", ""7743539"", ""7253822"", ""7907487"", ""7204388"", ""7466996"", ""7241210"", ""7957524"", ""7750562""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7743190"", ""7360526"", ""7360530"", ""7863564"", ""7688776"", ""7944021"", ""7697136"", ""7545801"", ""7356690"", ""7267535""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7816796"", ""7747072"", ""7113138"", ""7403659"", ""1011107"", ""7189738"", ""7953291"", ""7959025"", ""433444"", ""7642015""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7481478"", ""7733821"", ""7698164"", ""7477893"", ""7120076"", ""7689707"", ""7290399"", ""7728818"", ""7942709""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7946505"", ""7864039"", ""7307861"", ""8004401"", ""7859734"", ""7229591"", ""7339164"", ""7761850"", ""7796475""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7486503"", ""7615041"", ""7486505"", ""7173651"", ""7742389"", ""5746718"", ""7333731"", ""5731498"", ""7227332""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7812195"", ""7563950"", ""7874158"", ""7767836"", ""7926351"", ""4509893"", ""7277294"", ""7928461"", ""1499955"", ""7625327""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""708299"", ""7893642"", ""7109056"", ""6666760"", ""7367627"", ""7180743"", ""7949132"", ""7511407""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""7235859"", ""7622515"", ""7191357"", ""7226212"", ""7076046"", ""644710"", ""7268725"", ""7776233"", ""7687142""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""7212940"", ""7078555"", ""5397150"", ""3440388"", ""1285360"", ""7604764"", ""7427052"", ""7226965"", ""7635618"", ""7322754""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""6417290"", ""3592709"", ""7173266"", ""3242324"", ""7397256"", ""7883166"", ""7875901"", ""7108043"", ""7905137""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7630433"", ""7079467"", ""7127370"", ""7067759"", ""7154781"", ""7215725"", ""5420203"", ""7727772""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""7273634"", ""7561515"", ""7630376"", ""7264072"", ""7572822"", ""7450249"", ""7831930"", ""7273733"", ""7242222""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""8000759"", ""7392272"", ""7365714"", ""7305308"", ""7191576"", ""7860771"", ""7087881"", ""7072465"", ""7085272""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""1721389"", ""7333378"", ""7716079"", ""7380009"", ""7388532"", ""7966136"", ""613301"", ""7659801"", ""7544522""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""7192480"", ""7610795"", ""7116157"", ""7165350"", ""7682652"", ""7414682"", ""7696309"", ""7330386""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7541711"", ""7195763"", ""6584729"", ""7496020"", ""7447492"", ""7958813"", ""7381199"", ""7195729"", ""7470986"", ""7463865""]",0.2222222222222222
1037612,es-en,cual es la length de un armadillo,"[""7205573""]","[""7832435"", ""7853383"", ""7205573"", ""7149539"", ""7403702"", ""7699906"", ""7440961"", ""7979967"", ""7816303"", ""7096250""]",0.1428571428571429
1004565,es-en,¿ Cuándo comienza el festival de comida y wine en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7182313"", ""7813102"", ""7469470"", ""7180743"", ""7402685"", ""7503570"", ""7942489"", ""7142140""]",0.09999999999999998
630172,es-en,¿ Qué mean un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""7830330"", ""703196"", ""7137704"", ""2844975"", ""7369049"", ""7557079"", ""7254993"", ""7088781"", ""7143346""]",0.125
650157,es-en,¿ Qué dice the expression eres un buen huevo?,"[""7453899""]","[""7453899"", ""7196833"", ""7105534"", ""1414091"", ""7303270"", ""7319118"", ""7975364"", ""7728289"", ""2000768"", ""2076468""]",0.25
1031761,es-en,cual es la estructura de una cola de horsetail,"[""7215190""]","[""7771248"", ""7793664"", ""7909027"", ""7632606"", ""7215190"", ""772912"", ""7533340"", ""7275572"", ""7607904"", ""7208663""]",0.11111111111111116
339855,es-en,¿ Qué tan pronto debe an employee informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""2911180"", ""7879513"", ""7889577"", ""7420870"", ""7625240"", ""7195763"", ""7159342"", ""7677110""]",0.18181818181818177
1006724,es-en,¿ Cuándo fue el día de independence de Tailandia?,"[""7252753""]","[""7252753"", ""67027"", ""7516467"", ""7253793"", ""7095799"", ""621218"", ""4110699"", ""7598076"", ""7079774"", ""7079772""]",0.2222222222222222
411367,es-en,¿ Google está blocked en China?,"[""7633642""]","[""7633642"", ""7856346"", ""7282031"", ""7757683"", ""7471912"", ""7249466"", ""4889272"", ""3243435"", ""7418884"", ""7153291""]",0.19999999999999996
