query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es,¿Cuál es la relación matemática entre temperatura y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7985667"", ""7217353"", ""7235859"", ""7272695"", ""7659466"", ""7742716"", ""7692857"", ""7555272"", ""7622515""]",
1035645,es,cual es el nombre del castillo en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7858842"", ""7292184"", ""7396043"", ""7105678"", ""7725799"", ""7415405"", ""7246021"", ""7318694""]",
71029,es,¿Puede la enfermedad de Lyme causar foliculitis en perros?,"[""7670160""]","[""7670160"", ""7452987"", ""7519478"", ""7579869"", ""7455776"", ""7442428"", ""7630491"", ""7476284"", ""663950"", ""4973544""]",
1083836,es,¿Qué significa asegurado por fdic?,"[""1896608""]","[""1896608"", ""1159597"", ""7679312"", ""7193504"", ""7133583"", ""7146364"", ""7735648"", ""7697631"", ""4191529"", ""7595500""]",
1058885,es,¿Qué está causando las constantes náuseas y arcadas secas?,"[""7170528""]","[""5584747"", ""7112652"", ""7512430"", ""7325703"", ""7375386"", ""4486381"", ""7547680"", ""7966808"", ""7533102"", ""382685""]",
1039189,es,¿Quién es la actriz del equipo visitante en la operación Star Trek Aniquilar?,"[""7805080""]","[""7805080"", ""7643675"", ""4506030"", ""7643677"", ""3394797"", ""7287434"", ""7755602"", ""7958566"", ""7542123"", ""7239171""]",
829562,es,¿Cuál es el objetivo principal de un partido político?,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7245877"", ""7562831"", ""7624848"", ""991142"", ""7386744"", ""3353086"", ""7846219""]",
1055884,es,¿Quién fue el primer autor en utilizar la sociología en sus escritos?,"[""67588""]","[""67588"", ""7763743"", ""7435832"", ""7318902"", ""7907439"", ""8003099"", ""7082559"", ""7907440"", ""7626411"", ""7253236""]",
466830,es,"número de protones, neutrones y electrones en nitrógeno 14","[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7107654"", ""7402796"", ""7206592"", ""7210335"", ""3349239"", ""7217195"", ""7182995""]",
1048871,es,quien interpreta a xander de bunkd,"[""4146836""]","[""4146836"", ""7292304"", ""7124323"", ""7764195"", ""7623838"", ""7872329"", ""2628627"", ""7085516"", ""7858559"", ""7412017""]",
1085775,es,¿Qué conexión aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7116157"", ""2753653"", ""7934144"", ""7449195"", ""7929939"", ""7172939"", ""7984373"", ""4731340"", ""2462113"", ""7111959""]",
884298,es,¿Qué parámetros afectan la relación i: e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7215725"", ""7358221"", ""7657465"", ""7296810"", ""5420203"", ""2038018"", ""7272695"", ""7340503"", ""2459114""]",
1097199,es,¿Cuántos óvulos tiene una mujer?,"[""7433925""]","[""7433925"", ""7273604"", ""7255867"", ""7992043"", ""5730265"", ""7783998"", ""110910"", ""7210214"", ""7840105"", ""7534069""]",
950016,es,¿Cuándo es el horario de verano en Suiza?,"[""7754765""]","[""7754765"", ""7236525"", ""7095708"", ""7121801"", ""7410122"", ""7601337"", ""7086985"", ""7812355"", ""7853910"", ""924613""]",
337148,es,¿Qué edad debe tener su cachorro para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7076146"", ""7974596"", ""7700487"", ""609254"", ""7311939"", ""7187607"", ""7312387"", ""7492935"", ""7493757""]",
733241,es,lo que se considera vestimenta,"[""1699500""]","[""7933515"", ""7597656"", ""7170449"", ""7555333"", ""7944637"", ""7840602"", ""7069399"", ""7996796"", ""7171569"", ""6519900""]",
576898,es,¿Cuáles son las guerras por las que se pelea más comúnmente?,"[""7598385""]","[""7742103"", ""7234971"", ""7676511"", ""7214220"", ""7389537"", ""7843451"", ""7402399"", ""7243330"", ""1798522"", ""2358879""]",
617306,es,que deficiencia produce mancha blanca en las uñas,"[""7502930""]","[""7502930"", ""7122052"", ""651395"", ""7493514"", ""7132199"", ""5200958"", ""7493507"", ""1903885"", ""480677"", ""7537844""]",
1064470,es,¿Por qué los huevos se vuelven marrones?,"[""7728289""]","[""7728289"", ""7196833"", ""7510610"", ""7105534"", ""7625473"", ""7967858"", ""7490121"", ""2076468"", ""7760858"", ""4519204""]",
393696,es,"en texas, qué requisitos se necesitan para postularse para convertirse en corredor","[""7598745""]","[""7598745"", ""7934632"", ""7394645"", ""7645183"", ""7834912"", ""7384736"", ""7535426"", ""7073772"", ""7616620"", ""7395889""]",
992193,es,¿Quién acuñó el concepto de supervivencia del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""4772781"", ""7107894"", ""7720711"", ""7541544"", ""7495009"", ""7886668"", ""7615958"", ""7435832"", ""7281962""]",
829915,es,¿Cuál es la edad para contraer matrimonio en Kansas con el consentimiento de los padres?,"[""7787972""]","[""7787972"", ""7358369"", ""7167740"", ""7900321"", ""7106774"", ""7100617"", ""5898158"", ""7996617"", ""3799029"", ""7723393""]",
987767,es,con quien Roy Moore perdió,"[""7290624""]","[""7290624"", ""7574541"", ""7607111"", ""7461249"", ""7842616"", ""7138432"", ""7858356"", ""7761845"", ""7181095"", ""7946505""]",
299128,es,cuántas unidades de agua por mes,"[""6720313""]","[""7563235"", ""6720313"", ""7096348"", ""7249833"", ""7073976"", ""7776376"", ""7545525"", ""7229678"", ""2792154"", ""7485559""]",
814132,es,cuál es el límite diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""3545260"", ""7567998"", ""2304767"", ""7595065"", ""1460244"", ""7584484"", ""1738230""]",
874257,es,¿Qué recurso literario utiliza el autor para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7538644"", ""7547152"", ""145831"", ""7125373"", ""7907059"", ""2587289"", ""7743539"", ""7645562"", ""7768851""]",
868598,es,¿Qué notas necesitas para ser higienista dental?,"[""7743190""]","[""7360530"", ""7360526"", ""7944021"", ""7743190"", ""7863564"", ""7545801"", ""7688776"", ""6348579"", ""1829126"", ""7901950""]",
1071609,es,¿Por qué el ruido es un problema?,"[""7816796""]","[""7403659"", ""7816796"", ""7113138"", ""7959025"", ""7189738"", ""7216983"", ""7087019"", ""7895510"", ""7642015"", ""8000550""]",
663595,es,que genero es rob thomas,"[""7465375""]","[""7465375"", ""7171283"", ""7284690"", ""7787136"", ""7084659"", ""7415038"", ""7580483"", ""7290399"", ""7869208"", ""7689707""]",
1062203,es,¿Por qué Brad Pitt y Angelina Jolie se divorciaron?,"[""7569446""]","[""7569446"", ""7946505"", ""7841583"", ""7864039"", ""7946481"", ""7859734"", ""7677002"", ""7339164"", ""7901881"", ""7701740""]",
182644,es,ejemplos de síntomas de abstinencia de drogas,"[""7935405""]","[""7935405"", ""7173651"", ""7615041"", ""7486505"", ""7486503"", ""7742389"", ""7299269"", ""7227332"", ""4631846"", ""4920146""]",
931029,es,¿Cuál es el tamaño promedio de pepino?,"[""7812195""]","[""7812195"", ""7277294"", ""7601989"", ""7625327"", ""7502667"", ""4509893"", ""7718257"", ""7874158"", ""1722502"", ""7344571""]",
924580,es,de que se hace el whisky de trigo,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7451198"", ""7511407"", ""708299"", ""7457630"", ""7893642"", ""7251041"", ""7206269"", ""7193901""]",
837702,es,¿Qué es lo opuesto al helio?,"[""7799527""]","[""7799527"", ""644710"", ""7135073"", ""7235859"", ""7201584"", ""7226212"", ""7710180"", ""7674924"", ""2988522"", ""7076046""]",
1033156,es,¿Cuál es el verdadero nombre del jefe maestro?,"[""7212940""]","[""7212940"", ""7078555"", ""5397150"", ""1285360"", ""3440388"", ""7604764"", ""7391152"", ""7445448"", ""7539156"", ""6196709""]",
1079185,es,¿Qué pasa cuando una corporación se disuelve y tiene deudas?,"[""53048""]","[""53048"", ""3592709"", ""7091953"", ""3059745"", ""7493987"", ""7532041"", ""7282233"", ""7102693"", ""6417290"", ""7145546""]",
171534,es,¿Algún automóvil usa aire acondicionado para ayudar a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7629794"", ""7067759"", ""7127370"", ""7544748"", ""7256773"", ""7492286"", ""7268380"", ""7457418""]",
838500,es,¿Cómo se llama la parte de tu brazo donde extraen sangre?,"[""4707882""]","[""7273634"", ""4707882"", ""7342775"", ""1440644"", ""538189"", ""7317981"", ""7733024"", ""480701"", ""4367239"", ""7935307""]",
361285,es,cómo quitar la mancha de orina de gato de la alfombra,"[""7401706""]","[""7401706"", ""7072465"", ""7834434"", ""7561515"", ""7483017"", ""7365714"", ""7367838"", ""7588947"", ""7990241"", ""7134569""]",
1074603,es,por qué usar videos para marketing y promociones,"[""7845422""]","[""7845422"", ""7333378"", ""613301"", ""7826615"", ""7388532"", ""7482263"", ""7966136"", ""7659801"", ""7194094"", ""1721389""]",
931783,es,¿Cuál es la diferencia entre la autoimagen y el autoconcepto?,"[""7830900""]","[""7830900"", ""7164081"", ""7787994"", ""7330386"", ""7104622"", ""7398933"", ""7588579"", ""7299175"", ""7893232"", ""7497224""]",
1096025,es,¿Cuánto paga el estado a las enfermeras en md?,"[""7541711""]","[""7541711"", ""7195763"", ""363604"", ""7959134"", ""7658002"", ""7825985"", ""6584729"", ""7195729"", ""7663664"", ""7463865""]",
1037612,es,cual es la longitud de un armadillo,"[""7205573""]","[""7205573"", ""7556559"", ""7832435"", ""7403702"", ""7741773"", ""7460416"", ""7816303"", ""7669136"", ""7623127"", ""7440961""]",
1004565,es,¿Cuándo comienza el festival de comida y vino en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7813102"", ""7889800"", ""7226856"", ""7980047"", ""7846366"", ""7884647"", ""7182313"", ""7745802""]",
630172,es,¿Qué significa un anillo en el dedo medio?,"[""7469958""]","[""7469958"", ""703196"", ""7473991"", ""7662030"", ""7830330"", ""7534457"", ""7088781"", ""7254993"", ""7406252"", ""8005840""]",
650157,es,¿Qué dice la expresión eres un buen huevo?,"[""7453899""]","[""7453899"", ""7916436"", ""7196833"", ""7523816"", ""7625473"", ""2000768"", ""7728289"", ""7140296"", ""7911726"", ""7783462""]",
1031761,es,cual es la estructura de una cola de caballo,"[""7215190""]","[""7436902"", ""7215190"", ""7155236"", ""7771248"", ""7830210"", ""7632606"", ""7512964"", ""7134870"", ""7873567"", ""7592764""]",
339855,es,¿Qué tan pronto debe un empleado informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7399340"", ""7877769"", ""7889577"", ""7420870"", ""7297354"", ""7069832"", ""7445050"", ""4180526"", ""7928070""]",
