query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7388418"", ""575435"", ""7665317"", ""7455031"", ""7684366"", ""7359238"", ""7297119"", ""896966"", ""7257371"", ""7772714""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7455031"", ""5873659"", ""7388418"", ""7665317"", ""7643150"", ""7738155"", ""575435"", ""7958300"", ""7500358"", ""7539147""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7665317"", ""7455031"", ""7388418"", ""5873659"", ""7772714"", ""7297119"", ""7727520"", ""7359238"", ""7213125"", ""575435""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""7455031"", ""7643150"", ""7539147"", ""7647543"", ""5873659"", ""7500358"", ""7958300"", ""7738155"", ""7388418"", ""7727520""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""7388418"", ""7665317"", ""7684366"", ""7455031"", ""575435"", ""7297119"", ""7259868"", ""7359238"", ""7211059"", ""7409620""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7772714"", ""7388418"", ""7665317"", ""7455031"", ""7684366"", ""896966"", ""575435"", ""7297119"", ""7616897"", ""7643831""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""7727520"", ""7388418"", ""7455031"", ""7297119"", ""7643831"", ""575435"", ""7087940"", ""7359238"", ""7787010"", ""7643150""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7455031"", ""7388418"", ""7665317"", ""7643831"", ""7297119"", ""7772714"", ""7359238"", ""7684366"", ""7787010"", ""7832357""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7388418"", ""7455031"", ""7665317"", ""896966"", ""7772714"", ""5873659"", ""7572965"", ""7684366"", ""7977659"", ""7359238""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""7455031"", ""7388418"", ""7665317"", ""7772714"", ""896966"", ""7643150"", ""7684366"", ""575435"", ""7787010"", ""7297119""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7684366"", ""7259868"", ""7300339"", ""7666669"", ""7388418"", ""7255070"", ""896966"", ""7196932"", ""7377266"", ""575435""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928694"", ""7928696""]","[""7388418"", ""7684366"", ""7455031"", ""7665317"", ""7772714"", ""896966"", ""7259868"", ""575435"", ""7359238"", ""7083530""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7388418"", ""7958300"", ""575435"", ""896966"", ""7257371"", ""7738155"", ""7172572"", ""7455031"", ""7684366"", ""7787010""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7388418"", ""7455031"", ""7665317"", ""575435"", ""7297119"", ""5873659"", ""7772714"", ""7727520"", ""7359238"", ""7787010""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""5873659"", ""7665317"", ""7455031"", ""7772714"", ""7922181"", ""7388418"", ""7603458"", ""7519043"", ""7423938"", ""7643150""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7665317"", ""7455031"", ""7388418"", ""7500358"", ""8004099"", ""7643150"", ""575435"", ""7787010"", ""7727520"", ""7626314""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7455031"", ""7388418"", ""7665317"", ""8004099"", ""7500358"", ""7643150"", ""575435"", ""7738155"", ""7255070"", ""7265963""]",
