query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7305139"", ""7671426"", ""7659466"", ""7492132"", ""1335588"", ""7206684"", ""5420203"", ""7692857"", ""7537074"", ""7622515""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7208858"", ""7105678"", ""1878861"", ""7318694"", ""7028429"", ""7128290"", ""7224927"", ""7619153"", ""7858842"", ""7085238""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""1033337"", ""7679596"", ""7455776"", ""663950"", ""7452987"", ""7676140"", ""7314613"", ""7112464"", ""7670160"", ""1623640""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""1896608"", ""7595500"", ""7272684"", ""7704366"", ""7695991"", ""4191529"", ""7363414"", ""7686930"", ""7688312"", ""7375334""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""570442"", ""382685"", ""7512430"", ""764872"", ""7110876"", ""7325629"", ""298259"", ""7980638"", ""7113662"", ""7531239""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7805080"", ""7290137"", ""7125366"", ""7287434"", ""7847456"", ""7490735"", ""3909183"", ""7890349"", ""7355808"", ""7239171""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""3347905"", ""1455862"", ""991142"", ""7340037"", ""4582296"", ""7216092"", ""2468148"", ""7926476"", ""7830190"", ""7497486""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7907440"", ""7105483"", ""7200796"", ""7907439"", ""7763140"", ""7254447"", ""7257833""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7709283"", ""3349239"", ""7080008"", ""7158898"", ""7777896"", ""7867320"", ""7458932"", ""7406797"", ""1433879"", ""7711538""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""4146836"", ""7287518"", ""7124323"", ""1663521"", ""7388391"", ""7490252"", ""7877828"", ""7888038"", ""7769977"", ""7764195""]",
