query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7245607"", ""7914470"", ""7271216"", ""7119986"", ""2604603"", ""4691940"", ""7630267"", ""7120351"", ""1609405"", ""7771874""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7245607"", ""7337058"", ""4691940"", ""7736760"", ""7415405"", ""7630267"", ""7914470"", ""7895704"", ""7529532"", ""7771874""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7245607"", ""7914470"", ""7120351"", ""4691940"", ""7630267"", ""2604603"", ""1609405"", ""7529532"", ""7271216"", ""7718074""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""7382173"", ""7742240"", ""7486829"", ""7551745"", ""7472654"", ""7529532"", ""7074710"", ""5365929"", ""7079782"", ""7477756""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7245607"", ""7771874"", ""4691940"", ""7630267"", ""7337058"", ""7529532"", ""7736760"", ""2604603"", ""7290399"", ""3630138""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7245607"", ""7529532"", ""7771874"", ""7640068"", ""2604603"", ""4691940"", ""7630267"", ""7441373"", ""7509378"", ""7290399""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""7771874"", ""7245607"", ""7119986"", ""2604603"", ""7504509"", ""4691940"", ""7529532"", ""7640068"", ""7800943"", ""7271216""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7245607"", ""2604603"", ""4691940"", ""7771874"", ""7529532"", ""7640068"", ""7914470"", ""7271216"", ""7120351"", ""7630267""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7914470"", ""7245607"", ""4691940"", ""7415405"", ""7271216"", ""2604603"", ""1609405"", ""7718074"", ""7630267"", ""7119986""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""7529532"", ""7245607"", ""7771874"", ""7630267"", ""7290399"", ""2604603"", ""1609405"", ""7119986"", ""7914470"", ""7800943""]",0.16666666666666663
