query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7492132"", ""7206684"", ""7555272"", ""7933971"", ""7272695"", ""7672368"", ""7659466"", ""1335588"", ""7502195"", ""7622515""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7028429"", ""1878861"", ""7858842"", ""7105678"", ""7102315"", ""7957524"", ""7152404"", ""7292184"", ""7730364""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""1163812"", ""7670160"", ""1033337"", ""7679596"", ""7112464"", ""7795418"", ""5764941"", ""7431188"", ""7645500"", ""1623640""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""4191529"", ""7375334"", ""7272684"", ""7146364"", ""7688312"", ""7308077"", ""1159597"", ""7704366"", ""7439743""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7966808"", ""764872"", ""7641338"", ""1491677"", ""5099300"", ""7531239"", ""7492225"", ""7966805"", ""7373326""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""5972440"", ""7287434"", ""7789933"", ""7824464"", ""7490735"", ""7124323"", ""1757350"", ""3909183"", ""7789644""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""4582296"", ""2468148"", ""7284311"", ""7847593"", ""7144521"", ""7846219"", ""7211302"", ""7365878"", ""7216092""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""67588"", ""7763743"", ""7466996"", ""8003099"", ""7943543"", ""7082559"", ""7626411"", ""7259545"", ""7213343"", ""7626410""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""3349239"", ""7206592"", ""7402796"", ""7143675"", ""7777896"", ""7674848"", ""7977659""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7888038"", ""7124323"", ""7880839"", ""7764195"", ""7762982"", ""7285853"", ""7957869"", ""7292304"", ""7125366""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7150228"", ""7697378"", ""7333096"", ""7145104"", ""7479235"", ""7221273"", ""7984373"", ""7531759"", ""1404085""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7928696"", ""7079907"", ""7358221"", ""7684288"", ""1192808"", ""7864191"", ""7861394"", ""7671386"", ""7850889""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433925"", ""7433792"", ""3748377"", ""7414499"", ""7623591"", ""7104245"", ""7695522"", ""7099667"", ""7331507"", ""2263573""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7679151"", ""7095708"", ""7601337"", ""7862783"", ""7889379"", ""7236525"", ""7236909"", ""7410122"", ""964670""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7311939"", ""7700487"", ""7974596"", ""7187607"", ""609254"", ""7076146"", ""11527"", ""7493757"", ""7492451""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7171569"", ""7170449"", ""7933515"", ""1699500"", ""7421911"", ""7649080"", ""7715036"", ""7857342"", ""7736585"", ""7766841""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7843451"", ""7738141"", ""7081759"", ""7389537"", ""7829864"", ""7742103"", ""7598385"", ""7253685"", ""7924333"", ""7214220""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""4696351"", ""7442428"", ""7712580"", ""480677"", ""7894150"", ""7485124""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7105534"", ""7510610"", ""7196833"", ""1501464"", ""7695522"", ""7380886"", ""7332142"", ""7383191"", ""233414""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7996617"", ""7514078"", ""7585034"", ""7934632"", ""7508484"", ""7155303"", ""7834912""]",0.125
992193,zh-en,谁创造了适者生存的概念？ charles darwin karl marx赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""4772781"", ""7217405"", ""7956784"", ""7170288"", ""7929116"", ""7954866"", ""7417368"", ""7247765"", ""7796544""]",0.2857142857142857
829915,zh-en,经父母consent ，堪萨斯州的marriage age是多少,"[""7787972""]","[""7787972"", ""7167740"", ""7996617"", ""7106774"", ""7900321"", ""5898158"", ""7358369"", ""7723393"", ""7790637"", ""2320067""]",0.25
987767,zh-en,罗伊摩尔lost to了谁,"[""7290624""]","[""7290624"", ""7591713"", ""4212829"", ""7461249"", ""7580921"", ""7290270"", ""7198513"", ""7990677"", ""7607111"", ""7659345""]",0.19999999999999996
299128,zh-en,每月多少units的水,"[""6720313""]","[""6720313"", ""7776376"", ""7073976"", ""7325989"", ""2336191"", ""7229678"", ""7440310"", ""77985"", ""7485559"", ""2173490""]",0.19999999999999996
814132,zh-en,什么是每日钠limit,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""7595065"", ""7567998"", ""7644018"", ""7205532"", ""1738230"", ""7647265"", ""7385885""]",0.19999999999999996
874257,zh-en,作者用什么文学手法来describe约翰尼抢mugging外人的行为,"[""7867405""]","[""7867405"", ""7907059"", ""7381023"", ""7341001"", ""7726518"", ""8002171"", ""7535581"", ""7125373"", ""7876093"", ""7742684""]",0.25
868598,zh-en,你需要什么样的grades才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""7863564"", ""7944021"", ""7545801"", ""6348579"", ""7901950"", ""7688776"", ""1829126""]",0.09999999999999998
1071609,zh-en,为什么噪音是个problem,"[""7816796""]","[""7816796"", ""7087019"", ""7747072"", ""7403659"", ""7250048"", ""7286100"", ""7128451"", ""7367953"", ""7125770"", ""433444""]",0.19999999999999996
663595,zh-en,罗伯·托马斯是什么genre的,"[""7465375""]","[""7465375"", ""7733821"", ""7689707"", ""4583759"", ""7575496"", ""7612172"", ""7845737"", ""7181015"", ""7235814"", ""7580483""]",0.16666666666666663
1062203,zh-en,为什么布拉德皮特和安吉丽娜朱莉divorce,"[""7569446""]","[""7569446"", ""7864039"", ""7573749"", ""7946505"", ""8004401"", ""7677002"", ""7859734"", ""489053"", ""7284753"", ""7292030""]",0.1428571428571429
182644,zh-en,药物戒断症状的examples,"[""7935405""]","[""7935405"", ""7742389"", ""5746718"", ""7486505"", ""7615041"", ""7486503"", ""7299269"", ""7173651"", ""7543956"", ""8000498""]",0.19999999999999996
931029,zh-en,黄瓜的平均size是多少,"[""7812195""]","[""7812195"", ""7563950"", ""7926351"", ""7767836"", ""7277294"", ""7836035"", ""7625109"", ""7679682"", ""7229668"", ""7236918""]",0.16666666666666663
924580,zh-en,什么威士忌是由小麦made的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""1676911"", ""7109056"", ""1539468"", ""7986348"", ""7893642"", ""6666760"", ""7077056"", ""7511407""]",0.1428571428571429
837702,zh-en,helium的反义词是什么,"[""7799527""]","[""7799527"", ""7263791"", ""644710"", ""7135073"", ""7282170"", ""7271536"", ""7753600"", ""7100724"", ""7674924"", ""7365553""]",0.19999999999999996
1033156,zh-en,大酋长的real name是什么,"[""7212940""]","[""7972112"", ""7495923"", ""7219802"", ""7212940"", ""7290002"", ""1285360"", ""7766910"", ""7817302"", ""7251611"", ""7117505""]",0.16666666666666663
1079185,zh-en,当公司dissolves并负债时会发生什么？,"[""53048""]","[""53048"", ""7397256"", ""6417290"", ""7883166"", ""4805879"", ""7193504"", ""7114254"", ""3592709"", ""7715057"", ""7704366""]",0.125
171534,zh-en,有些汽车use空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7457418"", ""7492286"", ""7211972"", ""7544748"", ""7499659"", ""7079467"", ""7123543"", ""7629794"", ""7067759""]",0.125
838500,zh-en,你arm上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7105960"", ""7318629"", ""7157629"", ""7561515"", ""7979212"", ""7264072"", ""7091675"", ""538189"", ""7733024""]",0.125
361285,zh-en,如何去除carpet上的猫尿渍,"[""7401706""]","[""7401706"", ""7801159"", ""7367838"", ""7483017"", ""8003714"", ""7392272"", ""7910955"", ""7646847"", ""8000759"", ""7142176""]",0.125
1074603,zh-en,为什么use视频进行营销和促销,"[""7845422""]","[""7845422"", ""7221542"", ""7966136"", ""7598917"", ""7192643"", ""7734910"", ""7297378"", ""7826615"", ""7659801"", ""7076443""]",0.1428571428571429
931783,zh-en,自我image和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7447985"", ""7192480"", ""7610795"", ""7621537"", ""7682652"", ""7477756"", ""7412893"", ""7104622""]",0.1428571428571429
1096025,zh-en,国家在md pay护士多少钱,"[""7541711""]","[""7541711"", ""7447492"", ""7959134"", ""7195763"", ""363604"", ""7195729"", ""7944021"", ""7825985"", ""7302309"", ""7658002""]",0.1428571428571429
1037612,zh-en,armadillo的长度是多少,"[""7205573""]","[""3584350"", ""7625109"", ""7383364"", ""7659725"", ""7298577"", ""7343630"", ""5264767"", ""7868977"", ""7096250"", ""7289293""]",0.19999999999999996
1004565,zh-en,epcot的美食美酒节什么时候start,"[""7255591""]","[""7255591"", ""7375794"", ""7980047"", ""7555831"", ""7629808"", ""7914114"", ""7750740"", ""8008798"", ""7856655"", ""7800680""]",0.125
630172,zh-en,中指戴finger是什么意思？,"[""7469958""]","[""7469958"", ""7534457"", ""7406252"", ""7351259"", ""7158050"", ""7610400"", ""7830330"", ""2763110"", ""7091104"", ""7044609""]",0.16666666666666663
650157,zh-en,你是个good egg的表情是什么,"[""7453899""]","[""7453899"", ""7510610"", ""7880398"", ""7310898"", ""7767342"", ""7077548"", ""7451266"", ""7196833"", ""7728289"", ""7675212""]",0.2222222222222222
1031761,zh-en,马尾的structure是什么,"[""7215190""]","[""7215190"", ""7436902"", ""7686560"", ""7947243"", ""7463520"", ""7155236"", ""7275572"", ""7698182"", ""7991454"", ""7162936""]",0.19999999999999996
339855,zh-en,在michigan ，员工多久必须report受伤情况,"[""7359547""]","[""7359547"", ""7877769"", ""4180526"", ""7069832"", ""3161368"", ""7460955"", ""515308"", ""7359057"", ""7889577"", ""7716503""]",0.25
1006724,zh-en,泰国的independence日是什么时候,"[""7252753""]","[""7252753"", ""621218"", ""6794229"", ""4110696"", ""4110699"", ""3644878"", ""7752461"", ""6564217"", ""7257177"", ""7253793""]",0.1428571428571429
411367,zh-en,谷歌在中国被blocked了吗,"[""7633642""]","[""7633642"", ""7282031"", ""7856346"", ""7163245"", ""7580275"", ""7966136"", ""7479235"", ""7653402"", ""7496220"", ""4241535""]",0.1428571428571429
839488,zh-en,kohlrabies的plural是什么,"[""7866009""]","[""7721698"", ""2924518"", ""7363684"", ""7377350"", ""7123626"", ""7201515"", ""7619331"", ""7424161"", ""7558409"", ""7619420""]",0.19999999999999996
1087202,zh-en,low blood的症状是什么,"[""7103722""]","[""7273847"", ""7449503"", ""5184014"", ""7798067"", ""7103722"", ""7518992"", ""7402905"", ""7442428"", ""5200958"", ""1541418""]",0.19999999999999996
1058513,zh-en,什么是类dojo used for,"[""7171329""]","[""7852621"", ""7171329"", ""7503317"", ""7241028"", ""7378091"", ""7533612"", ""7174576"", ""7471735"", ""7610454"", ""7876246""]",0.19999999999999996
1054949,zh-en,什么是图书馆的friends,"[""7177052""]","[""7177052"", ""7482587"", ""7362321"", ""6910071"", ""7533440"", ""7799131"", ""7681232"", ""7125772"", ""6553981"", ""7794580""]",0.19999999999999996
190380,zh-en,keep牙龈健康的食物,"[""5092256""]","[""5092256"", ""7490179"", ""7386869"", ""7124035"", ""7411168"", ""7379859"", ""757494"", ""7697136"", ""7871325"", ""7854545""]",0.19999999999999996
739554,zh-en,理解和掌握有什么difference,"[""7456010"", ""7044609""]","[""7044609"", ""7939488"", ""7174697"", ""7685511"", ""7185490"", ""7787994"", ""7508637"", ""7126790"", ""7735479"", ""7970442""]",0.16666666666666663
1059812,zh-en,谁的face在钱上,"[""7290835""]","[""7290835"", ""7843298"", ""7135870"", ""7084243"", ""468467"", ""7866428"", ""7602350"", ""7907059"", ""7927438"", ""7196698""]",0.16666666666666663
1071161,zh-en,什么是金融的long战略,"[""7157744""]","[""7108763"", ""7154644"", ""7205823"", ""7601275"", ""7657978"", ""7100389"", ""7136128"", ""7540969"", ""7522387"", ""7145016""]",0.16666666666666663
69065,zh-en,我可以用驾照拿到我的plates吗,"[""7392067""]","[""7097756"", ""7392067"", ""7770548"", ""7767922"", ""7475740"", ""7132332"", ""7449032"", ""7350549"", ""7439148"", ""1558710""]",0.11111111111111116
831034,zh-en,当提到任何开花植物时，水果的meaning是什么,"[""2077415""]","[""7662692"", ""2077415"", ""6834791"", ""7484648"", ""7255023"", ""7133887"", ""7836035"", ""7478005"", ""7594270"", ""7213486""]",0.09090909090909094
1002373,zh-en,你的eyes只在哪儿拍的？,"[""7747666""]","[""7747666"", ""7272184"", ""2890756"", ""7815183"", ""6541514"", ""7835634"", ""7225891"", ""4593851"", ""7765502"", ""7966136""]",0.125
609707,zh-en,montello wi在哪个county,"[""7690114""]","[""7690114"", ""2208454"", ""7817457"", ""7661663"", ""7834400"", ""7509565"", ""7465839"", ""565636"", ""7665063"", ""7117069""]",0.19999999999999996
393420,zh-en,history上什么是势力范围,"[""7689572""]","[""7689572"", ""7552460"", ""7403682"", ""775748"", ""7668987"", ""8005523"", ""7958623"", ""7593896"", ""7958213"", ""7766737""]",0.19999999999999996
1084596,zh-en,汽车上的tags需要什么,"[""7126829""]","[""7508018"", ""7126829"", ""7550490"", ""1167724"", ""7132332"", ""7443616"", ""7176630"", ""7127184"", ""450426"", ""7082868""]",0.16666666666666663
1041656,zh-en,助学金的definition是什么,"[""7199394""]","[""7199394"", ""7466552"", ""7270201"", ""1890397"", ""6417801"", ""5570217"", ""7787413"", ""7802155"", ""7724525"", ""1676060""]",0.19999999999999996
1097283,zh-en,king因在伯明翰抗议而在jail里呆了多少天,"[""7426908""]","[""7426908"", ""7856053"", ""7497729"", ""7867903"", ""1744702"", ""5966342"", ""2474755"", ""7498046"", ""7713427"", ""7292883""]",0.16666666666666663
166528,zh-en,ftp是否use appdata文件夹,"[""7373623""]","[""7373623"", ""7472797"", ""7167848"", ""7479235"", ""7409686"", ""7494872"", ""1332977"", ""7074151"", ""7396514"", ""7491308""]",0.19999999999999996
988720,zh-en,谁是芝加哥的original singer,"[""7287922""]","[""7287922"", ""7642166"", ""7291556"", ""7286276"", ""7952481"", ""7725656"", ""7869446"", ""7826444"", ""7279876"", ""2661262""]",0.19999999999999996
1093928,zh-en,iphone x是waterproof的还是防水的,"[""7711108""]","[""7711108"", ""7550534"", ""7901437"", ""7299999"", ""7230635"", ""7512955"", ""7889712"", ""7388471"", ""7687516"", ""7705644""]",0.125
735175,zh-en,什么是成本和运费in inco terms,"[""7522344""]","[""7522344"", ""7391075"", ""7633741"", ""5257825"", ""7674273"", ""7562554"", ""7644739"", ""7995002"", ""7176679"", ""569364""]",0.1428571428571429
289276,zh-en,成人应take多少毫克利他林,"[""7559170""]","[""7559170"", ""7443875"", ""7772677"", ""8005631"", ""7188414"", ""7591413"", ""7979854"", ""7913520"", ""992238"", ""7644018""]",0.1428571428571429
1092946,zh-en,蜂蜡和椰子油candles的好处,"[""7791376""]","[""1733702"", ""7825287"", ""1240847"", ""7702428"", ""7749954"", ""7318261"", ""7791376"", ""7744006"", ""7127158"", ""7187342""]",0.16666666666666663
988779,zh-en,巴哈马的leader是谁,"[""7287698""]","[""7287698"", ""7892232"", ""7227397"", ""7286430"", ""7287014"", ""7612596"", ""7290624"", ""7823516"", ""7759152"", ""7286553""]",0.19999999999999996
823310,zh-en,vitamin c的一般功能是什么,"[""4092416""]","[""1374083"", ""7076988"", ""4092416"", ""7955062"", ""7955063"", ""7716397"", ""7457408"", ""7768495"", ""2801308"", ""7584004""]",0.1428571428571429
657264,zh-en,是什么ended了性别歧视,"[""1727593""]","[""635313"", ""1727593"", ""7175278"", ""7666669"", ""7665730"", ""7551392"", ""7443839"", ""7225096"", ""7993243"", ""7124792""]",0.19999999999999996
