query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7159600"", ""822036"", ""7391075"", ""7975262"", ""7403119"", ""7989957"", ""7095181"", ""7438194"", ""7987323"", ""7959529""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7262494"", ""7260599"", ""7230656"", ""7687684"", ""7635828"", ""7998238"", ""7400322"", ""7607816"", ""7669704"", ""7616310""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7885938"", ""2796698"", ""7416894"", ""7174285"", ""7713253"", ""7312571"", ""1063820"", ""7805820"", ""7937112"", ""7529804""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7635866"", ""7729151"", ""7421584"", ""7514803"", ""7984923"", ""7582199"", ""7216053"", ""7326934"", ""7491732"", ""7741333""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7246108"", ""1222245"", ""7975262"", ""822036"", ""7997089"", ""7159600"", ""7480724"", ""7989957"", ""7391075"", ""7095181""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7192386"", ""7826945"", ""5364437"", ""7371165"", ""7474981"", ""934199"", ""7493328"", ""7391461"", ""7915201"", ""3967230""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7262494"", ""7998238"", ""7687684"", ""7607816"", ""7230656"", ""7616310"", ""7260599"", ""7908385"", ""7452294"", ""7400322""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""7989957"", ""7975262"", ""2206447"", ""822036"", ""7159600"", ""7391075"", ""7246108"", ""7403119"", ""7254405"", ""7277338""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""3132715"", ""7883296"", ""7148624"", ""7986449"", ""7101499"", ""7380649"", ""7756655"", ""651769"", ""7666294"", ""7378343""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""7666392"", ""7689572"", ""7764721"", ""7730141"", ""7299505"", ""7936047"", ""7087289"", ""7855122"", ""7536893"", ""7206995""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""3132715"", ""7883296"", ""7101499"", ""651769"", ""7275299"", ""1849766"", ""7731956"", ""7380649"", ""7148624"", ""7956697""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928696"", ""7928694""]","[""7805820"", ""7480406"", ""7713253"", ""7312571"", ""7467255"", ""7736379"", ""1063820"", ""7979055"", ""6827035"", ""7747672""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7421584"", ""7635866"", ""7729151"", ""7326934"", ""3485313"", ""7741333"", ""7984923"", ""7514803"", ""7478005"", ""7603660""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""7262494"", ""7998238"", ""7687684"", ""7230656"", ""7607816"", ""7635828"", ""7260599"", ""7908385"", ""2020327"", ""7616310""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""2496088"", ""7599445"", ""7154781"", ""7271582"", ""1361892"", ""7411777"", ""7259271"", ""7716198"", ""7366865"", ""7310262""]",
733241,en,what is considered attire,"[""1699500""]","[""678441"", ""7989374"", ""7259064"", ""7127124"", ""1849581"", ""7164681"", ""7801466"", ""663950"", ""7238394"", ""1787021""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7868715"", ""7764845"", ""7417288"", ""4805879"", ""3147026"", ""7127554"", ""7969465"", ""7001397"", ""7668987"", ""7189068""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""2137413"", ""7716453"", ""7239509"", ""7352456"", ""7133254"", ""7422420"", ""7434863"", ""7222239"", ""7290847"", ""7344757""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7116292"", ""7840748"", ""7159054"", ""7942052"", ""7458964"", ""7494600"", ""7343499"", ""8003241"", ""7679740"", ""7373344""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7233637"", ""7737864"", ""7557969"", ""7287816"", ""6006927"", ""7709559"", ""3125025"", ""7239746"", ""7971951"", ""57196""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7943897"", ""7815714"", ""7145182"", ""7763936"", ""5716462"", ""7411479"", ""7371165"", ""2880341"", ""7569341"", ""5364437""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7154420"", ""7639764"", ""7802397"", ""8003796"", ""7527675"", ""2461604"", ""7675260"", ""7226737"", ""7999236"", ""7072163""]",
987767,en,who roy moore lost to,"[""7290624""]","[""176136"", ""1499955"", ""7767706"", ""7343630"", ""6922176"", ""7745216"", ""7745594"", ""7950058"", ""7628775"", ""7460915""]",
299128,en,how many units of water per month,"[""6720313""]","[""7827124"", ""7392067"", ""7499432"", ""7127554"", ""1765752"", ""7001397"", ""7161172"", ""97364"", ""7802322"", ""7764845""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""7764845"", ""7161172"", ""7127554"", ""3147026"", ""4805879"", ""7001397"", ""7978177"", ""7417288"", ""7827124"", ""7499432""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7713253"", ""7416894"", ""7312571"", ""1063820"", ""7885938"", ""7805820"", ""7736379"", ""7747672"", ""2796698"", ""7235939""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7087289"", ""7689572"", ""7730141"", ""7206995"", ""7550051"", ""7105137"", ""7334427"", ""7286115"", ""7709708"", ""7094773""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7116292"", ""7159054"", ""7840748"", ""7458964"", ""7942052"", ""7494600"", ""7343499"", ""7679740"", ""7652991"", ""8003241""]",
663595,en,what genre is rob thomas,"[""7465375""]","[""7343630"", ""7812119"", ""7967958"", ""7767706"", ""176136"", ""7950058"", ""7745216"", ""1499955"", ""7990461"", ""7189738""]",
1062203,en,why did brad pitt and angelina jolie divorce,"[""7569446""]","[""7737864"", ""7557969"", ""57196"", ""7233637"", ""7239746"", ""5293044"", ""7269594"", ""6006927"", ""2299612"", ""3125025""]",
182644,en,examples of drug withdrawal symptoms,"[""7935405""]","[""7764845"", ""7189068"", ""4805879"", ""7868715"", ""3147026"", ""3303994"", ""7883028"", ""7668987"", ""7417288"", ""7584607""]",
931029,en,what's the average cucumber size,"[""7812195""]","[""7326460"", ""7145012"", ""3654352"", ""6657219"", ""697252"", ""7761099"", ""7480052"", ""7318668"", ""7249337"", ""7188992""]",
924580,en,what whiskey is made of wheat,"[""7853738"", ""7853736""]","[""7713253"", ""7885938"", ""7275299"", ""2796698"", ""7935682"", ""7416894"", ""7747672"", ""7805820"", ""3132715"", ""7666294""]",
837702,en,what is the opposite of helium,"[""7799527""]","[""7998238"", ""7687684"", ""7834434"", ""7262494"", ""7330492"", ""7901622"", ""7607816"", ""7908385"", ""7885127"", ""7122460""]",
1033156,en,what is the real name of master chief,"[""7212940""]","[""7416894"", ""7805820"", ""7713253"", ""7312571"", ""7979055"", ""7233539"", ""7953247"", ""675206"", ""1063820"", ""2796698""]",
1079185,en,what happens when a corp dissolves and has debt?,"[""53048""]","[""7729621"", ""7512151"", ""7635340"", ""7246550"", ""7948484"", ""7416715"", ""7072926"", ""2763110"", ""7740641"", ""7550802""]",
171534,en,does some car use air conditioner to help defroster,"[""7385189""]","[""7385189"", ""7986449"", ""7148624"", ""7275299"", ""7883296"", ""7380649"", ""1052690"", ""7935405"", ""3132715"", ""7756655""]",
838500,en,what is the part on your arm where they draw blood called,"[""4707882""]","[""7756655"", ""7883296"", ""7529804"", ""7866774"", ""3132715"", ""7731956"", ""7016640"", ""7101499"", ""1052690"", ""7380649""]",
361285,en,how to get cat urine stain out of carpet,"[""7401706""]","[""7148624"", ""7756655"", ""7275299"", ""7380649"", ""7529804"", ""7883296"", ""1052690"", ""7101499"", ""7666294"", ""651769""]",
1074603,en,why use videos for marketing and promotions,"[""7845422""]","[""7855509"", ""7774324"", ""7201762"", ""2288101"", ""7985702"", ""7986684"", ""1160731"", ""7666166"", ""7694971"", ""7950135""]",
931783,en,what's the difference between self-image and self-concept,"[""7830900""]","[""934199"", ""7943897"", ""7145182"", ""7970698"", ""7763936"", ""7995071"", ""7821644"", ""3764735"", ""7386049"", ""7815714""]",
1096025,en,how much does state pay nurses in md,"[""7541711""]","[""7082472"", ""7774324"", ""3213940"", ""7985702"", ""2288101"", ""1160731"", ""7488101"", ""7986684"", ""7855509"", ""7694971""]",
1037612,en,what is the length of an armadillo,"[""7205573""]","[""7975262"", ""7391075"", ""7989957"", ""7159600"", ""7438194"", ""2206447"", ""7576628"", ""7095181"", ""4832862"", ""822036""]",
1004565,en,when does the food and wine festival at epcot start,"[""7255591""]","[""7148624"", ""1924680"", ""7883296"", ""7275299"", ""1052690"", ""7380649"", ""7499172"", ""3132715"", ""7970848"", ""1849766""]",
630172,en,what does a ring on the middle finger mean?,"[""7469958""]","[""7083723"", ""7985702"", ""7732372"", ""1160731"", ""3213940"", ""7694971"", ""7082472"", ""7846366"", ""7855509"", ""7950135""]",
650157,en,what does the expression you're a good egg,"[""7453899""]","[""7201762"", ""2288101"", ""7855509"", ""7694971"", ""7082472"", ""7079658"", ""7774324"", ""1160731"", ""7950135"", ""7985702""]",
1031761,en,what is the structure of a horsetail,"[""7215190""]","[""7975262"", ""822036"", ""7989957"", ""7391075"", ""7159600"", ""7438194"", ""2206447"", ""7403119"", ""7095181"", ""7246108""]",
339855,en,how soon must an employee report an injury in michigan,"[""7359547""]","[""2496088"", ""7599445"", ""7154781"", ""7271582"", ""1361892"", ""7259271"", ""7716198"", ""7411777"", ""6786974"", ""7756309""]",
1006724,en,when did independence day in thailand,"[""7252753""]","[""7416894"", ""7713253"", ""7979055"", ""7805820"", ""7312571"", ""7885938"", ""7114015"", ""7935682"", ""1063820"", ""2388250""]",
411367,en,is google blocked in china,"[""7633642""]","[""7998238"", ""7834434"", ""7687684"", ""7330492"", ""7901622"", ""7262494"", ""7607816"", ""7885127"", ""7908385"", ""7122460""]",
839488,en,what is the plural of kohlrabies,"[""7866009""]","[""4860839"", ""7716198"", ""2496088"", ""7988639"", ""7310262"", ""7411777"", ""6786974"", ""7154781"", ""7733761"", ""7232337""]",
1087202,en,what are symptoms of low blood s,"[""7103722""]","[""7975262"", ""822036"", ""7246108"", ""1222245"", ""7989957"", ""7391075"", ""7159600"", ""7997089"", ""7438194"", ""7403119""]",
1058513,en,what is class dojo used for,"[""7171329""]","[""7416894"", ""7713253"", ""7312571"", ""1063820"", ""7101499"", ""7805820"", ""7114015"", ""7148624"", ""7235939"", ""6827035""]",
1054949,en,what is friends of the library,"[""7177052""]","[""7262494"", ""7998238"", ""7687684"", ""7607816"", ""7230656"", ""7908385"", ""7834434"", ""7616310"", ""7635828"", ""2020327""]",
190380,en,foods to keep gums healthy,"[""5092256""]","[""7975262"", ""822036"", ""7391075"", ""7480724"", ""7989957"", ""7246108"", ""7159600"", ""7438194"", ""7277338"", ""7403119""]",
739554,en,what is difference between understand and grasp,"[""7456010"", ""7044609""]","[""7713253"", ""7312571"", ""7416894"", ""7101499"", ""7979055"", ""1063820"", ""7805820"", ""7736379"", ""7946169"", ""7715281""]",
1059812,en,whose face is on money,"[""7290835""]","[""7998238"", ""7262494"", ""7687684"", ""7834434"", ""7607816"", ""7330492"", ""7908385"", ""7901622"", ""7635828"", ""7885127""]",
1071161,en,what is a long strategy in finance,"[""7157744""]","[""7391075"", ""7975262"", ""7159600"", ""822036"", ""7989957"", ""7438194"", ""7987323"", ""7480724"", ""7277338"", ""4832862""]",
69065,en,can i get my my license plates with a driver permit,"[""7392067""]","[""7635340"", ""7729621"", ""7072926"", ""2801879"", ""7246550"", ""7357837"", ""7550802"", ""7979438"", ""7512151"", ""7416715""]",
831034,en,what is the meaning of fruit when referring to any flowering plant,"[""2077415""]","[""7826945"", ""586360"", ""934199"", ""5716462"", ""7386049"", ""7625812"", ""2138923"", ""7145182"", ""415660"", ""7879145""]",
1002373,en,where was for your eyes only filmed?,"[""7747666""]","[""7082472"", ""1160731"", ""7782982"", ""7986684"", ""7201762"", ""2288101"", ""7774324"", ""7950135"", ""3213940"", ""7132387""]",
609707,en,what county is montello wi in,"[""7690114""]","[""7975262"", ""7391075"", ""822036"", ""7869036"", ""7959529"", ""7438194"", ""7989957"", ""7159600"", ""7095181"", ""7480724""]",
393420,en,in history what is a sphere of influence,"[""7689572""]","[""7391075"", ""7975262"", ""7159600"", ""7989957"", ""822036"", ""7403119"", ""7438194"", ""2206447"", ""7277338"", ""7246108""]",
1084596,en,what do you need for tags on car,"[""7126829""]","[""7391075"", ""7975262"", ""7438194"", ""822036"", ""7277338"", ""7989957"", ""7159600"", ""7095181"", ""4832862"", ""7480724""]",
1041656,en,what is the definition of fellowship in financial aid,"[""7199394""]","[""7713253"", ""7312571"", ""7416894"", ""7148624"", ""7380649"", ""7101499"", ""7805820"", ""2796698"", ""7514078"", ""1849766""]",
1097283,en,how many days did king spend in jail for protesting in birmingham,"[""7426908""]","[""7512151"", ""7476956"", ""2801879"", ""7072926"", ""7729533"", ""7729621"", ""7979438"", ""7357837"", ""4804980"", ""7948484""]",
166528,en,does ftp use the appdata folder,"[""7373623""]","[""7716365"", ""7083613"", ""7960384"", ""7878894"", ""7527675"", ""7831536"", ""7101625"", ""7577097"", ""7415211"", ""7132300""]",
988720,en,who is the original singer for chicago,"[""7287922""]","[""7716365"", ""7960384"", ""7083613"", ""7527675"", ""7878894"", ""7101625"", ""7831536"", ""6022168"", ""1228986"", ""7471198""]",
1093928,en,is the iphone x waterproof or water resistant,"[""7711108""]","[""7713253"", ""7979055"", ""7416894"", ""7805820"", ""7885938"", ""675206"", ""7636872"", ""7312571"", ""2796698"", ""7765253""]",
735175,en,what is cost and freight inco terms,"[""7522344""]","[""7262494"", ""7998238"", ""7687684"", ""7607816"", ""7230656"", ""7616310"", ""7908385"", ""7635828"", ""7452294"", ""7260599""]",
289276,en,how many milligrams of ritalin should an adult take,"[""7559170""]","[""7271582"", ""2496088"", ""7599445"", ""1361892"", ""7411777"", ""7140224"", ""7716198"", ""7154781"", ""7988639"", ""7310262""]",
1092946,en,benefits of beeswax and coconut oil candles,"[""7791376""]","[""7948484"", ""7512151"", ""7246550"", ""7635340"", ""7979438"", ""7729621"", ""1518421"", ""7072926"", ""7740641"", ""7416715""]",
988779,en,who is the leader of bahamas,"[""7287698""]","[""7262494"", ""7998238"", ""7687684"", ""7607816"", ""7230656"", ""7908385"", ""7635828"", ""7616310"", ""2020327"", ""7834434""]",
823310,en,what is the general function of vitamin c,"[""4092416""]","[""7262494"", ""7260599"", ""7230656"", ""7687684"", ""7998238"", ""7607816"", ""7616310"", ""7669704"", ""7635828"", ""7908385""]",
657264,en,what ended the gender discrimination,"[""1727593""]","[""7689572"", ""7764721"", ""7730141"", ""7299505"", ""7936047"", ""7536893"", ""2461604"", ""7072163"", ""7802397"", ""7527675""]",
