query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7985667"", ""7206684"", ""7692857"", ""3605846"", ""7220288"", ""7691361"", ""7944469"", ""7671426"", ""4798181"", ""7150677""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7152404"", ""7105678"", ""7318694"", ""7224927"", ""7691221"", ""7028429"", ""7239458"", ""7698439"", ""7730364""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7795418"", ""7679596"", ""7089741"", ""8001916"", ""1163812"", ""7959219"", ""7630491"", ""1033337"", ""7112464"", ""7759517""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7679312"", ""7688312"", ""7871824"", ""7308077"", ""4191529"", ""7795529"", ""7146364"", ""7104141"", ""7595500""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7471105"", ""3003239"", ""7506794"", ""7134736"", ""7472314"", ""7220327"", ""1738230"", ""7457408"", ""6285926"", ""1904588""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7120205"", ""7890349"", ""1285360"", ""7869733"", ""7988731"", ""7283346"", ""7382065"", ""7287434"", ""7906424"", ""7259526""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7396947"", ""7216092"", ""7865401"", ""7386744"", ""7881110"", ""7847593"", ""7371475"", ""7144521"", ""2371093""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""67588"", ""7435832"", ""7763743"", ""7541544"", ""7577963"", ""7626411"", ""7318902"", ""7666142"", ""7188652"", ""7508110""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7217195"", ""7210335"", ""7080008"", ""7709283"", ""3349239"", ""7690521"", ""7201997"", ""7217353"", ""7128834"", ""7343612""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7292304"", ""7382065"", ""7646041"", ""7935110"", ""7383642"", ""4783316"", ""7286801"", ""7793247""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7420401"", ""7167848"", ""7934144"", ""7681232"", ""7503056"", ""3003239"", ""7145212"", ""7212558"", ""7752264"", ""7340887""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7944469"", ""7928694"", ""7708657"", ""7165807"", ""7691361"", ""7229862"", ""7403659"", ""7861394"", ""7082136"", ""7122373""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7433792"", ""7416687"", ""7433925"", ""7809714"", ""7392437"", ""7628559"", ""7273604"", ""7304054"", ""7695522"", ""3748377""]",0.19999999999999996
