query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-en,温度与体积的正反mathematical relationship是什么,"[""7206684""]","[""7217353"", ""7492132"", ""7206684"", ""7229862"", ""2038018"", ""7527060"", ""7279541"", ""7640838"", ""7488637"", ""7272695""]",0.2222222222222222
1035645,zh-en,俄罗斯的城堡叫什么name,"[""7208858""]","[""7208858"", ""7105678"", ""7292184"", ""7152404"", ""7235939"", ""7262494"", ""7396043"", ""7841769"", ""7235946"", ""7134705""]",0.16666666666666663
71029,zh-en,莱姆病会导致dogs的毛囊炎吗,"[""7670160""]","[""7089741"", ""7670160"", ""1033337"", ""7996955"", ""7112464"", ""7459302"", ""7345967"", ""8001916"", ""7816587"", ""663950""]",0.1428571428571429
1083836,zh-en,fdic insured是什么意思？,"[""1896608""]","[""1896608"", ""7148904"", ""4191529"", ""1159597"", ""7375334"", ""7145016"", ""7133583"", ""7235939"", ""7235946"", ""7816587""]",0.19999999999999996
1058885,zh-en,是什么causing了持续的干胀和恶心,"[""7170528""]","[""7374761"", ""7235946"", ""5584747"", ""7641338"", ""7471105"", ""7235939"", ""7966804"", ""7139764"", ""7647509"", ""7528852""]",0.11111111111111116
1039189,zh-en,谁是星际迷航行动歼灭team的女演员,"[""7805080""]","[""7239171"", ""7572869"", ""7398690"", ""7329333"", ""7235939"", ""7789933"", ""7259526"", ""7624731"", ""7490735"", ""8005121""]",0.11111111111111116
829562,zh-en,政党的主要purpose是什么？,"[""3347905""]","[""3347905"", ""7420461"", ""7235946"", ""7127941"", ""381174"", ""7926476"", ""2468148"", ""7216092"", ""7170855"", ""7253966""]",0.16666666666666663
1055884,zh-en,谁是第一个在writing中使用社会学的作者,"[""67588""]","[""67588"", ""7763743"", ""7082559"", ""7213343"", ""7257833"", ""5910812"", ""7259545"", ""7541544"", ""7787203"", ""145831""]",0.09999999999999998
466830,zh-en,氮中的质子数、中子数和electrons 14,"[""7709283""]","[""7080008"", ""7709283"", ""7158898"", ""1718067"", ""7965476"", ""3349239"", ""7235939"", ""7406797"", ""7656967"", ""7234172""]",0.18181818181818177
1048871,zh-en,谁在bunkd中plays xander,"[""4146836""]","[""4146836"", ""7235939"", ""7235946"", ""7647619"", ""7816587"", ""7888038"", ""7841769"", ""7985724"", ""7302021"", ""7355625""]",0.16666666666666663
1085775,zh-en,引导图像advantage什么联系将您带入深入,"[""7116157""]","[""7104769"", ""7235939"", ""7167848"", ""7647619"", ""7277016"", ""7816587"", ""7339731"", ""7869800"", ""7841769"", ""7147226""]",0.11111111111111116
884298,zh-en,哪些parameters会影响呼吸机的i : e比率,"[""7928696"", ""7928694""]","[""7928694"", ""7217353"", ""7816587"", ""7944469"", ""7861394"", ""7235939"", ""7095246"", ""7928696"", ""7305462"", ""7238394""]",0.11111111111111116
1097199,zh-en,一个女人有多少个eggs,"[""7433925""]","[""7433925"", ""7273604"", ""7992043"", ""7826945"", ""7380886"", ""7623591"", ""7303270"", ""7433792"", ""7416687"", ""7553085""]",0.16666666666666663
950016,zh-en,瑞士的daylight time是什么时候,"[""7754765""]","[""7754765"", ""7083275"", ""7236525"", ""7597092"", ""7438631"", ""924613"", ""7213876"", ""7809074"", ""7852867"", ""7410122""]",0.16666666666666663
337148,zh-en,你的小狗应该多old才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7700487"", ""7076146"", ""7974596"", ""7311939"", ""6723094"", ""609254"", ""7312387"", ""7187607"", ""7226690""]",0.11111111111111116
733241,zh-en,什么被considered是着装,"[""1699500""]","[""7235939"", ""7647619"", ""7816587"", ""7457709"", ""7235946"", ""7657603"", ""7171569"", ""7355625"", ""7933515"", ""7238394""]",0.19999999999999996
576898,zh-en,什么是最常fought的战争,"[""7598385""]","[""7843451"", ""7829864"", ""7738141"", ""7253685"", ""7235939"", ""7214220"", ""7924333"", ""1798522"", ""7814471"", ""7402399""]",0.16666666666666663
617306,zh-en,什么缺乏会在指甲上产生white spot,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""1903885"", ""7471105"", ""5200958"", ""7073140"", ""7273604"", ""7852029"", ""7104615""]",0.125
1064470,zh-en,为什么鸡蛋会变成brown,"[""7728289""]","[""7728289"", ""7273604"", ""7332142"", ""7380886"", ""7235946"", ""7196833"", ""1501464"", ""294372"", ""7235939"", ""1718067""]",0.19999999999999996
393696,zh-en,在德克萨斯州申请成为经纪人需要什么requirements,"[""7598745""]","[""7816587"", ""7645183"", ""7714548"", ""7077823"", ""7934632"", ""7531298"", ""7598745"", ""7181768"", ""7708506"", ""7806932""]",0.125
