query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,en,what is the mathematical relationship between temperature and volume direct or inverse,"[""7206684""]","[""7356443"", ""7417737"", ""7143330"", ""7551084"", ""7636772"", ""7920207"", ""7360997"", ""7973245"", ""7647543"", ""7281151""]",
1035645,en,what is the name of the castle in russia,"[""7208858""]","[""7770763"", ""85696"", ""7267095"", ""7666789"", ""7776702"", ""7130983"", ""7971998"", ""5987460"", ""7635866"", ""7867014""]",
71029,en,can lyme disease cause folliculitis in dogs,"[""7670160""]","[""7198959"", ""7155125"", ""7644294"", ""7913207"", ""7360997"", ""7660653"", ""7529532"", ""7553092"", ""7604768"", ""7139015""]",
1083836,en,what does fdic insured mean?,"[""1896608""]","[""7727353"", ""85696"", ""7867014"", ""7078546"", ""7235726"", ""7515114"", ""7908361"", ""7770763"", ""7947880"", ""7657603""]",
1058885,en,what is causing the constant dry heaving and nausea,"[""7170528""]","[""7138192"", ""7776702"", ""7267095"", ""7635866"", ""7561994"", ""7657603"", ""7636087"", ""85696"", ""7958136"", ""7149506""]",
1039189,en,who is the actress on the away team in star trek operation annihilate,"[""7805080""]","[""7078546"", ""8007305"", ""7646041"", ""7095246"", ""7867014"", ""7806932"", ""7359238"", ""7721425"", ""7772311"", ""7908361""]",
829562,en,what is the main purpose of a political party?,"[""3347905""]","[""7776702"", ""7515114"", ""7454094"", ""7393774"", ""7657603"", ""7163245"", ""7727353"", ""7130983"", ""7745504"", ""7561994""]",
1055884,en,who was the first author to use sociology in their writing,"[""67588""]","[""5987460"", ""7878523"", ""85696"", ""7929951"", ""7636087"", ""7267095"", ""7635866"", ""7657603"", ""7976366"", ""7085374""]",
466830,en,number of protons neutrons and electrons in nitrogen 14,"[""7709283""]","[""7362321"", ""8003980"", ""7096311"", ""7917896"", ""7601018"", ""7992974"", ""7405220"", ""7216529"", ""7800341"", ""7696820""]",
1048871,en,who plays xander from bunkd,"[""4146836""]","[""8007305"", ""7078546"", ""7188505"", ""7947880"", ""7635866"", ""7646041"", ""7806932"", ""7235726"", ""7426486"", ""7095246""]",
1085775,en,what connection does guided imagery take advantage of to transport you deep into,"[""7116157""]","[""7878523"", ""7636087"", ""7883229"", ""7776702"", ""7423072"", ""7100572"", ""85696"", ""7085374"", ""7635866"", ""7657603""]",
884298,en,what parameters effect i:e ratio on ventilators,"[""7928694"", ""7928696""]","[""7291425"", ""7356443"", ""7647543"", ""7920207"", ""8003980"", ""3055383"", ""7973245"", ""7161120"", ""7362321"", ""7281151""]",
1097199,en,how many eggs do does a woman have,"[""7433925""]","[""7388418"", ""7291425"", ""7228483"", ""7904294"", ""637822"", ""7403705"", ""7161497"", ""7079010"", ""3055383"", ""6145668""]",
950016,en,when is daylight savings time for switzerland,"[""7754765""]","[""85696"", ""7067881"", ""7976366"", ""7635866"", ""7538824"", ""7719540"", ""7878622"", ""7145990"", ""7267095"", ""7933880""]",
337148,en,how old should your puppy be to get a rabies shot,"[""7389316""]","[""7156969"", ""7300488"", ""7636087"", ""7100572"", ""7971998"", ""7423072"", ""7153877"", ""7279780"", ""7194531"", ""7878523""]",
733241,en,what is considered attire,"[""1699500""]","[""7727353"", ""7635866"", ""85696"", ""7255955"", ""7542969"", ""7657603"", ""7898532"", ""7163245"", ""7199352"", ""7135380""]",
576898,en,what are wars most commonly fought over,"[""7598385""]","[""7727353"", ""7078546"", ""8007305"", ""7745504"", ""2390977"", ""7515114"", ""7726781"", ""7967496"", ""7685776"", ""7775790""]",
617306,en,what deficiency produces white spot on nails,"[""7502930""]","[""7635866"", ""7657603"", ""7255955"", ""7523883"", ""7734961"", ""7085374"", ""7727353"", ""7636087"", ""7177565"", ""7102330""]",
1064470,en,why do eggs turn brown,"[""7728289""]","[""7727353"", ""7976366"", ""7693520"", ""7846786"", ""5987460"", ""85696"", ""7878622"", ""7657603"", ""7785056"", ""7067881""]",
393696,en,in texas what requirements are needed to apply to become a broker,"[""7598745""]","[""7878523"", ""7423072"", ""7100572"", ""7971998"", ""85696"", ""7776702"", ""7300488"", ""7138192"", ""7194531"", ""7576393""]",
992193,en,who coined the concept survival of the fittest? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7140224"", ""290936"", ""1632809"", ""4923015"", ""2147012"", ""5241660"", ""7854419"", ""7195501"", ""7576052"", ""7192178""]",
829915,en,what is the marriage age in kansas with parental consent,"[""7787972""]","[""7878523"", ""7194531"", ""7667773"", ""7971998"", ""7720535"", ""7267095"", ""7091796"", ""7800680"", ""7878622"", ""7130178""]",
987767,en,who roy moore lost to,"[""7290624""]","[""8007305"", ""7947880"", ""7078546"", ""7426486"", ""7188505"", ""2517017"", ""7785220"", ""7235726"", ""7727353"", ""7635866""]",
299128,en,how many units of water per month,"[""6720313""]","[""8003980"", ""7636087"", ""7423072"", ""7720535"", ""7362321"", ""7816587"", ""7670431"", ""7100572"", ""7971998"", ""7635866""]",
814132,en,what is the daily sodium limit,"[""7951365""]","[""7635866"", ""7878523"", ""7971998"", ""7183900"", ""7976366"", ""7636087"", ""7816587"", ""7149506"", ""7867014"", ""85696""]",
874257,en,what literary device does the author use to describe johnny's mugging the outsiders,"[""7867405""]","[""7454094"", ""7515114"", ""7727353"", ""7776702"", ""7078546"", ""7110439"", ""7405441"", ""7143346"", ""7265204"", ""7969020""]",
868598,en,what kind of grades do you need to be a dental hygienist,"[""7743190""]","[""7878523"", ""7636087"", ""7100572"", ""7423072"", ""85696"", ""7085374"", ""7971998"", ""7657603"", ""7776702"", ""7635866""]",
1071609,en,why is noise a problem,"[""7816796""]","[""7097506"", ""7976366"", ""7636087"", ""7666789"", ""7736398"", ""7156969"", ""2517017"", ""7109128"", ""7958136"", ""7657603""]",
663595,en,what genre is rob thomas,"[""7465375""]","[""8007305"", ""7110439"", ""7426486"", ""7078546"", ""7969020"", ""7727353"", ""7635866"", ""7729272"", ""7806932"", ""7775790""]",
1062203,en,why did brad pitt and angelina jolie divorce,"[""7569446""]","[""7078546"", ""7841769"", ""7770763"", ""7235726"", ""7776702"", ""7947880"", ""7969020"", ""85696"", ""7182386"", ""7945856""]",
182644,en,examples of drug withdrawal symptoms,"[""7935405""]","[""7776702"", ""7561994"", ""7635866"", ""7657603"", ""7163245"", ""7827927"", ""7745504"", ""7714929"", ""7941540"", ""7079952""]",
931029,en,what's the average cucumber size,"[""7812195""]","[""7635866"", ""7976366"", ""7183900"", ""7878523"", ""7816587"", ""7800680"", ""7077823"", ""7867014"", ""7650402"", ""7636087""]",
924580,en,what whiskey is made of wheat,"[""7853736"", ""7853738""]","[""7727353"", ""7078546"", ""7947880"", ""7095246"", ""7380847"", ""7426486"", ""7235726"", ""8007305"", ""7255955"", ""7205083""]",
837702,en,what is the opposite of helium,"[""7799527""]","[""7078546"", ""7515114"", ""7806932"", ""7908361"", ""8007305"", ""7727353"", ""7269149"", ""7651092"", ""7730214"", ""7235726""]",
1033156,en,what is the real name of master chief,"[""7212940""]","[""7255955"", ""7635866"", ""7246516"", ""7727353"", ""7657603"", ""85696"", ""7779444"", ""7177565"", ""7795009"", ""7091796""]",
1079185,en,what happens when a corp dissolves and has debt?,"[""53048""]","[""7100572"", ""7878523"", ""7138192"", ""7561994"", ""7267095"", ""7776702"", ""7423072"", ""85696"", ""7883229"", ""7156969""]",
171534,en,does some car use air conditioner to help defroster,"[""7385189""]","[""7944710"", ""7130178"", ""85696"", ""7878622"", ""7423072"", ""7267095"", ""7198959"", ""7635866"", ""7719540"", ""7091796""]",
838500,en,what is the part on your arm where they draw blood called,"[""4707882""]","[""7515114"", ""7550591"", ""7078546"", ""7969020"", ""7867014"", ""7727353"", ""7657603"", ""7945856"", ""7235726"", ""7122592""]",
361285,en,how to get cat urine stain out of carpet,"[""7401706""]","[""7635866"", ""7267095"", ""7987997"", ""7657603"", ""7776702"", ""7155756"", ""7727353"", ""7838034"", ""7255955"", ""7693520""]",
1074603,en,why use videos for marketing and promotions,"[""7845422""]","[""7635866"", ""7636087"", ""7255955"", ""7657603"", ""7776702"", ""7085374"", ""85696"", ""7947880"", ""7806559"", ""7878523""]",
931783,en,what's the difference between self-image and self-concept,"[""7830900""]","[""7122592"", ""7143346"", ""7898532"", ""7726781"", ""7163245"", ""7727353"", ""7193829"", ""7078546"", ""6553981"", ""7802959""]",
1096025,en,how much does state pay nurses in md,"[""7541711""]","[""7636087"", ""7635866"", ""7423072"", ""7816587"", ""7878523"", ""7971998"", ""7100572"", ""7085374"", ""7267095"", ""7976366""]",
1037612,en,what is the length of an armadillo,"[""7205573""]","[""7635866"", ""7971998"", ""7636087"", ""7077823"", ""7878523"", ""7867014"", ""85696"", ""7149506"", ""7097506"", ""7423072""]",
1004565,en,when does the food and wine festival at epcot start,"[""7255591""]","[""7130983"", ""7878523"", ""7971998"", ""7100572"", ""7770763"", ""7839871"", ""7985724"", ""7083824"", ""7423072"", ""7117235""]",
630172,en,what does a ring on the middle finger mean?,"[""7469958""]","[""7776702"", ""7635866"", ""7657603"", ""7393774"", ""7515114"", ""85696"", ""7454094"", ""7841769"", ""7110439"", ""7878523""]",
650157,en,what does the expression you're a good egg,"[""7453899""]","[""7635866"", ""7255955"", ""7657603"", ""7085374"", ""7135380"", ""7143469"", ""7898532"", ""7238172"", ""7476064"", ""7145990""]",
1031761,en,what is the structure of a horsetail,"[""7215190""]","[""7976366"", ""7138192"", ""7234971"", ""7097506"", ""85696"", ""7878622"", ""7067881"", ""7145990"", ""7267095"", ""7688312""]",
339855,en,how soon must an employee report an injury in michigan,"[""7359547""]","[""7636087"", ""7267095"", ""7100572"", ""7138192"", ""7156969"", ""7423072"", ""7635866"", ""7085374"", ""7657603"", ""85696""]",
1006724,en,when did independence day in thailand,"[""7252753""]","[""7635866"", ""7657603"", ""7776702"", ""7714929"", ""85696"", ""7947880"", ""7636087"", ""7867014"", ""7958136"", ""7255955""]",
411367,en,is google blocked in china,"[""7633642""]","[""7727353"", ""7795009"", ""2930408"", ""8007305"", ""7205083"", ""7619800"", ""7765231"", ""7846786"", ""7646041"", ""7184566""]",
839488,en,what is the plural of kohlrabies,"[""7866009""]","[""7867014"", ""7256313"", ""7666789"", ""7097506"", ""7136942"", ""7736398"", ""7088695"", ""7100572"", ""7934611"", ""7908361""]",
1087202,en,what are symptoms of low blood s,"[""7103722""]","[""7138192"", ""7657603"", ""7776702"", ""7636087"", ""85696"", ""7666789"", ""7097506"", ""7085374"", ""7211336"", ""7635866""]",
1058513,en,what is class dojo used for,"[""7171329""]","[""7727353"", ""7657603"", ""8007305"", ""7426486"", ""7635866"", ""85696"", ""7255955"", ""7947880"", ""7078546"", ""7380847""]",
1054949,en,what is friends of the library,"[""7177052""]","[""7727353"", ""8007305"", ""7255955"", ""7110439"", ""7795009"", ""7635866"", ""7775790"", ""7555333"", ""2390977"", ""7380847""]",
190380,en,foods to keep gums healthy,"[""5092256""]","[""7635866"", ""7776702"", ""7657603"", ""7727353"", ""7255955"", ""7745504"", ""7945856"", ""7110439"", ""7078546"", ""7987997""]",
739554,en,what is difference between understand and grasp,"[""7456010"", ""7044609""]","[""7727353"", ""7765231"", ""7775790"", ""7898532"", ""7355654"", ""7143346"", ""7726781"", ""8007305"", ""7987997"", ""7634650""]",
1059812,en,whose face is on money,"[""7290835""]","[""7727353"", ""8007305"", ""7635866"", ""7795009"", ""7255955"", ""7657603"", ""85696"", ""7246516"", ""7380847"", ""7078546""]",
1071161,en,what is a long strategy in finance,"[""7157744""]","[""7727353"", ""7255955"", ""7967496"", ""7987997"", ""7635866"", ""7619800"", ""7734961"", ""7657603"", ""7685776"", ""7370295""]",
69065,en,can i get my my license plates with a driver permit,"[""7392067""]","[""7878523"", ""7635866"", ""7971998"", ""7423072"", ""7267095"", ""7667773"", ""7636087"", ""7367366"", ""7719540"", ""7130178""]",
