query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh,温度与体积的正反数学关系是什么,"[""7206684""]","[""7206684"", ""7217353"", ""7492132"", ""7165807"", ""7691361"", ""7527060"", ""7985667"", ""7239230"", ""7488637"", ""7220288""]",
1035645,zh,俄罗斯的城堡叫什么名字,"[""7208858""]","[""7208858"", ""7152404"", ""7028429"", ""7105678"", ""7858842"", ""1878861"", ""7245028"", ""7085238"", ""7224927"", ""7134705""]",
71029,zh,莱姆病会导致狗的毛囊炎吗,"[""7670160""]","[""7679596"", ""7670160"", ""1163812"", ""7576393"", ""7345967"", ""7112464"", ""1033337"", ""7996955"", ""7483627"", ""7455776""]",
1083836,zh,fdic 投保是什么意思？,"[""1896608""]","[""1896608"", ""7375334"", ""1159597"", ""7808278"", ""7595500"", ""7272800"", ""4591673"", ""4973544"", ""4191529"", ""7856336""]",
1058885,zh,是什么导致了持续的干胀和恶心,"[""7170528""]","[""5584747"", ""7531239"", ""7399600"", ""7139764"", ""764872"", ""7780379"", ""7528852"", ""7125409"", ""6407050"", ""7538477""]",
1039189,zh,谁是星际迷航行动歼灭客队的女演员,"[""7805080""]","[""7805080"", ""7636646"", ""7490735"", ""7290137"", ""7355808"", ""7124323"", ""7572869"", ""5972440"", ""7983669"", ""7303666""]",
829562,zh,政党的主要目的是什么？,"[""3347905""]","[""3347905"", ""7245877"", ""7846219"", ""7532348"", ""7284311"", ""3353086"", ""7216092"", ""2468148"", ""7108043"", ""7420461""]",
1055884,zh,谁是第一个在写作中使用社会学的作者,"[""67588""]","[""7763743"", ""67588"", ""7082559"", ""7626411"", ""7907439"", ""7876093"", ""7943543"", ""7283703"", ""7253236"", ""7819364""]",
466830,zh,氮中的质子数、中子数和电子数 14,"[""7709283""]","[""7080008"", ""7158898"", ""7709283"", ""7201997"", ""7206592"", ""7402796"", ""7674848"", ""7777896"", ""3349239"", ""7182995""]",
1048871,zh,谁在 bunkd 中扮演 xander,"[""4146836""]","[""4146836"", ""7292304"", ""7750201"", ""4783316"", ""7888038"", ""7855353"", ""7771898"", ""7285853"", ""7124323"", ""7412014""]",
1085775,zh,引导图像利用什么联系将您带入深入,"[""7116157""]","[""7116157"", ""7517701"", ""7831440"", ""7511266"", ""7356443"", ""7933299"", ""7763045"", ""7111959"", ""7153849"", ""7327215""]",
884298,zh,哪些参数会影响呼吸机的 i:e 比率,"[""7928696"", ""7928694""]","[""7928694"", ""7220288"", ""7165807"", ""7488637"", ""7358221"", ""7552032"", ""7684288"", ""7928696"", ""7272695"", ""7268557""]",
1097199,zh,一个女人有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7210214"", ""7273604"", ""6093010"", ""7534069"", ""7401799"", ""110910"", ""7211660"", ""7623591""]",
950016,zh,瑞士的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7236525"", ""7936377"", ""166256"", ""256757"", ""7853910"", ""7121801"", ""721893"", ""409338"", ""7410122""]",
337148,zh,你的小狗应该多大才能接种狂犬病疫苗,"[""7389316""]","[""7389316"", ""7076146"", ""609254"", ""7311939"", ""7700487"", ""7974596"", ""7187607"", ""7493757"", ""7312387"", ""7678643""]",
733241,zh,什么被认为是着装,"[""1699500""]","[""7933515"", ""7170449"", ""7421911"", ""1699500"", ""7239710"", ""7736585"", ""7069399"", ""7171569"", ""7355625"", ""7187592""]",
576898,zh,什么是最常发生的战争,"[""7598385""]","[""7389537"", ""7742103"", ""7214220"", ""7081759"", ""7234971"", ""7264655"", ""7924333"", ""7829864"", ""7186427"", ""7156492""]",
617306,zh,什么缺乏会在指甲上产生白斑,"[""7502930""]","[""7502930"", ""7122052"", ""7493514"", ""1903885"", ""7459621"", ""7073140"", ""5200958"", ""4948097"", ""7537844"", ""7583039""]",
1064470,zh,为什么鸡蛋会变成褐色,"[""7728289""]","[""7728289"", ""1501464"", ""7510610"", ""5558092"", ""7399071"", ""7332142"", ""7105534"", ""7413320"", ""7651243"", ""1111528""]",
393696,zh,在德克萨斯州申请成为经纪人需要什么要求,"[""7598745""]","[""7598745"", ""7645183"", ""7934632"", ""7394645"", ""7155303"", ""7834912"", ""7917146"", ""7535445"", ""7531298"", ""7395889""]",
992193,zh,谁创造了适者生存的概念？查尔斯·达尔文卡尔·马克思赫伯特·斯宾塞马克斯·韦伯,"[""7280593""]","[""7280593"", ""7956784"", ""7280523"", ""4772781"", ""7902342"", ""7125772"", ""7435832"", ""7929116"", ""7276511"", ""7912439""]",
829915,zh,经父母同意，堪萨斯州的结婚年龄是多少,"[""7787972""]","[""7787972"", ""7900321"", ""7358369"", ""7167740"", ""2320067"", ""7996617"", ""6395661"", ""7378072"", ""7156804"", ""7077987""]",
987767,zh,罗伊摩尔输给了谁,"[""7290624""]","[""7290624"", ""7375078"", ""7111660"", ""7445716"", ""7967451"", ""7990677"", ""7324840"", ""7607111"", ""7645327"", ""7705935""]",
299128,zh,每月多少单位的水,"[""6720313""]","[""7073976"", ""6720313"", ""7096107"", ""7229678"", ""7463564"", ""7326865"", ""7563235"", ""684240"", ""7776376"", ""2173490""]",
814132,zh,什么是每日钠限量,"[""7951365""]","[""7951365"", ""714998"", ""7837801"", ""1460244"", ""7567998"", ""7584607"", ""7584484"", ""7591413"", ""7485559"", ""7515703""]",
874257,zh,作者用什么文学手法来描述约翰尼抢劫局外人的行为,"[""7867405""]","[""7867405"", ""7778543"", ""7695210"", ""7341001"", ""7547152"", ""7125373"", ""7902915"", ""7204388"", ""7201783"", ""7258894""]",
868598,zh,你需要什么样的成绩才能成为一名牙科保健员,"[""7743190""]","[""7360526"", ""7360530"", ""7743190"", ""7863564"", ""6348579"", ""7944021"", ""7545801"", ""7583542"", ""7688776"", ""929425""]",
1071609,zh,为什么噪音是个问题,"[""7816796""]","[""7403659"", ""7816796"", ""7113138"", ""433444"", ""7659221"", ""7087019"", ""7938647"", ""7747072"", ""7325759"", ""1782540""]",
663595,zh,罗伯·托马斯是什么类型的,"[""7465375""]","[""7465375"", ""7689707"", ""7284690"", ""7436481"", ""7849570"", ""7857716"", ""7586385"", ""7879285"", ""7245028"", ""7733821""]",
1062203,zh,为什么布拉德皮特和安吉丽娜朱莉离婚,"[""7569446""]","[""7569446"", ""7864039"", ""7901881"", ""7864034"", ""7430929"", ""7946505"", ""7339164"", ""7573749"", ""7659457"", ""7701740""]",
182644,zh,药物戒断症状的例子,"[""7935405""]","[""7935405"", ""7173651"", ""7615041"", ""4920146"", ""7299269"", ""7140020"", ""7486505"", ""7742389"", ""7205356"", ""8000498""]",
931029,zh,黄瓜的平均大小是多少,"[""7812195""]","[""7812195"", ""7625327"", ""7563950"", ""7817084"", ""7718257"", ""7926351"", ""7836035"", ""7426755"", ""7413311"", ""7942755""]",
924580,zh,什么威士忌是由小麦制成的,"[""7853738"", ""7853736""]","[""7853736"", ""7853738"", ""7511407"", ""7109056"", ""708299"", ""7684046"", ""1539468"", ""7192642"", ""7077056"", ""1676911""]",
837702,zh,氦的反义词是什么,"[""7799527""]","[""7799527"", ""7135073"", ""7156708"", ""7674924"", ""7263791"", ""7201584"", ""7472422"", ""7074940"", ""644710"", ""7442647""]",
1033156,zh,大酋长的真名是什么,"[""7212940""]","[""7212940"", ""7118597"", ""7756309"", ""7102089"", ""7104920"", ""1285360"", ""7429319"", ""7900076"", ""7477283"", ""7495923""]",
1079185,zh,当公司解散并负债时会发生什么？,"[""53048""]","[""53048"", ""7767022"", ""7397256"", ""2591569"", ""7804150"", ""7863402"", ""7532041"", ""7853255"", ""7599373"", ""7173091""]",
171534,zh,有些汽车使用空调来帮助除霜吗,"[""7385189""]","[""7385189"", ""7211972"", ""7224033"", ""7629794"", ""7067759"", ""7639182"", ""7861305"", ""7930349"", ""7715931"", ""7392272""]",
838500,zh,你手臂上抽血的部位叫什么,"[""4707882""]","[""4707882"", ""7561515"", ""7318629"", ""7342775"", ""538189"", ""7273634"", ""7235691"", ""7242222"", ""7220327"", ""7105960""]",
361285,zh,如何去除地毯上的猫尿渍,"[""7401706""]","[""7401706"", ""7990241"", ""7392272"", ""7072465"", ""7483017"", ""8000759"", ""7072462"", ""7365714"", ""1033337"", ""7715778""]",
1074603,zh,为什么使用视频进行营销和促销,"[""7845422""]","[""7845422"", ""7659801"", ""7388532"", ""613301"", ""7461286"", ""7826615"", ""7507377"", ""7970530"", ""7933299"", ""7380009""]",
931783,zh,自我形象和自我概念有什么区别,"[""7830900""]","[""7830900"", ""7164081"", ""7184269"", ""7538426"", ""7652351"", ""7713592"", ""7410315"", ""7555333"", ""7649192"", ""7199746""]",
1096025,zh,国家在 md 支付护士多少钱,"[""7541711""]","[""7541711"", ""7195763"", ""7959134"", ""363604"", ""7529771"", ""7447492"", ""7658002"", ""7531267"", ""1056609"", ""7356987""]",
1037612,zh,犰狳的长度是多少,"[""7205573""]","[""7205573"", ""7926379"", ""7784059"", ""7230656"", ""7365294"", ""4969080"", ""7224650"", ""7491456"", ""7447712"", ""7980757""]",
