query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7220288"", ""7217353"", ""7272695"", ""7985667"", ""2038018"", ""7206684"", ""7527060"", ""7691361"", ""7492132"", ""7692857""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7208858"", ""7170513"", ""7134705"", ""7132734"", ""7104920"", ""7763592"", ""5986843"", ""7548969"", ""7085238"", ""7564254""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1163812"", ""7483627"", ""7996955"", ""7113578"", ""7245607"", ""7538477"", ""7670160"", ""7902167"", ""7679596"", ""4057833""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""1159597"", ""7375334"", ""7170128"", ""7595500"", ""7272800"", ""7650878"", ""7688312"", ""7364249"", ""7808278""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""7139764"", ""7478931"", ""7815435"", ""5584747"", ""7385379"", ""7401337"", ""7776917"", ""7522662"", ""1729506""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7572869"", ""7124323"", ""1285360"", ""7983669"", ""5972440"", ""7805080"", ""7290137"", ""1757350"", ""7636646"", ""7296899""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7846219"", ""7420461"", ""7284311"", ""7245877"", ""7847593"", ""7532348"", ""7380847"", ""7396947"", ""7594365""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""7082559"", ""67588"", ""7876093"", ""7626411"", ""7341001"", ""7283703"", ""7943543"", ""7318902"", ""7773767""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7080008"", ""7709283"", ""7158898"", ""7777896"", ""7201997"", ""7206592"", ""7674848"", ""7847504"", ""7795902"", ""7402796""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7862625"", ""7855353"", ""7219923"", ""7341001"", ""7291425"", ""7305445"", ""7900240"", ""7355625"", ""7285853""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7763045"", ""7831440"", ""7717995"", ""7099448"", ""7339731"", ""7111959"", ""7356443"", ""7357948"", ""7560613"", ""7277016""]",0.2222222222222222
