query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,zh-es,温度与volumen的正反数学关系是什么,"[""7206684""]","[""7305139"", ""7692857"", ""7555272"", ""7239230"", ""7944469"", ""7985667"", ""7867320"", ""7933971"", ""2038018"", ""3605846""]",0.11111111111111116
1035645,zh-es,俄罗斯的castillo叫什么名字,"[""7208858""]","[""7170513"", ""7886203"", ""7104920"", ""7208858"", ""7224927"", ""7355625"", ""7928259"", ""7132734"", ""7440582"", ""7961504""]",0.16666666666666663
71029,zh-es,莱姆病会导致perros的毛囊炎吗,"[""7670160""]","[""1163812"", ""7670160"", ""7902167"", ""7199997"", ""7996955"", ""7479554"", ""7628200"", ""7931015"", ""1033337"", ""7679596""]",0.1428571428571429
1083836,zh-es,fdic投保是什么significa ？,"[""1896608""]","[""1896608"", ""7438527"", ""7375334"", ""7324774"", ""7133842"", ""7679312"", ""7308077"", ""7677192"", ""7170128"", ""7166333""]",0.19999999999999996
1058885,zh-es,是什么导致了持续的干胀和arcadas secas,"[""7170528""]","[""7531239"", ""7067077"", ""7325629"", ""7683174"", ""7401337"", ""7688622"", ""7472314"", ""7139764"", ""7403767"", ""670962""]",0.11111111111111116
1039189,zh-es,谁是星际迷航行动歼灭客队的actriz演员,"[""7805080""]","[""7983669"", ""1285360"", ""5972440"", ""7124323"", ""7732555"", ""7296899"", ""7303666"", ""7789933"", ""7694677"", ""7835218""]",0.11111111111111116
829562,zh-es,政党的主要objetivo是什么？,"[""3347905""]","[""3347905"", ""7284311"", ""2468148"", ""7881110"", ""7865401"", ""7396947"", ""7216092"", ""7290847"", ""7988731"", ""7405441""]",0.16666666666666663
1055884,zh-es,谁是第一个在写作中utilizar社会学的作者,"[""67588""]","[""7763743"", ""7618484"", ""7082559"", ""67588"", ""7815026"", ""7541544"", ""7283703"", ""7577963"", ""7253236"", ""7873211""]",0.09999999999999998
466830,zh-es,氮中的质子数、 neutrones和电子数 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7674848"", ""7777896"", ""7100247"", ""7847504"", ""7867320"", ""7965476"", ""7495648""]",0.18181818181818177
1048871,zh-es,谁在bunkd中interpreta xander,"[""4146836""]","[""4146836"", ""7291425"", ""7284160"", ""7957815"", ""7728474"", ""7213206"", ""7937639"", ""7998031"", ""7382065"", ""7646041""]",0.16666666666666663
1085775,zh-es,guiadas图像利用什么conexión将您带入深入,"[""7116157""]","[""7503056"", ""7472357"", ""7763045"", ""7877816"", ""7202654"", ""7212558"", ""7188975"", ""7115754"", ""7111959"", ""7272732""]",0.2222222222222222
884298,zh-es,哪些参数会影响呼吸机的i : relación e,"[""7928696"", ""7928694""]","[""7928694"", ""7684288"", ""7708657"", ""7558643"", ""7555333"", ""7239751"", ""5268318"", ""7165807"", ""5474666"", ""7928696""]",0.11111111111111116
1097199,zh-es,一个mujer有多少个卵子,"[""7433925""]","[""7433925"", ""7433792"", ""7623591"", ""7273604"", ""6093010"", ""7846964"", ""7583899"", ""2743909"", ""7833470"", ""7806346""]",0.16666666666666663
950016,zh-es,suiza的夏令时是什么时候,"[""7754765""]","[""7754765"", ""7121801"", ""7236525"", ""7856084"", ""7236909"", ""7853910"", ""7083239"", ""7601337"", ""166256"", ""7850214""]",0.16666666666666663
337148,zh-es,你的小狗应该多大才能recibir狂犬病疫苗,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7312387"", ""609254"", ""7311939"", ""7493757"", ""7700487"", ""7594460"", ""7223077""]",0.11111111111111116
733241,zh-es,什么被认为是vestimenta,"[""1699500""]","[""7428543"", ""7089269"", ""7346776"", ""7939684"", ""7969020"", ""7831345"", ""7486459"", ""7285492"", ""7780112"", ""7346150""]",0.19999999999999996
576898,zh-es,什么是最常发生的guerras,"[""7598385""]","[""7566190"", ""7738141"", ""7452193"", ""7331285"", ""7253966"", ""7829864"", ""7264655"", ""7916578"", ""7522099"", ""7242969""]",0.16666666666666663
617306,zh-es,什么缺乏会在指甲上produce白斑,"[""7502930""]","[""7122052"", ""7502930"", ""7493514"", ""1903885"", ""4696351"", ""651395"", ""856874"", ""7107443"", ""7583039"", ""3152590""]",0.125
1064470,zh-es,为什么huevos会变成褐色,"[""7728289""]","[""7458144"", ""7640582"", ""7659125"", ""7100726"", ""7169477"", ""7471105"", ""7279474"", ""7323291"", ""7115236"", ""7688031""]",0.19999999999999996
