query_id,query_language,query,ground_truth_doc_ids,retrieved_doc_ids,sw_rate
1036814,es-en,¿ Cuál es la relationship matemática entre temperature y volumen directa o inversa?,"[""7206684""]","[""7206684"", ""7305462"", ""2038018"", ""7217353"", ""7220288"", ""7492132"", ""7358221"", ""1335588"", ""7165807"", ""7229862""]",0.16666666666666663
1035645,es-en,cual es el nombre del castle en rusia,"[""7208858""]","[""7208858"", ""7292184"", ""7318694"", ""7152404"", ""7105678"", ""7396043"", ""7942489"", ""7730364"", ""7858842"", ""7698439""]",0.125
71029,es-en,¿ Puede la enfermedad de Lyme causar foliculitis en dogs?,"[""7670160""]","[""7795418"", ""7112464"", ""7801066"", ""7670160"", ""7455776"", ""7630491"", ""7312387"", ""1033337"", ""1623640"", ""4436062""]",0.11111111111111116
1083836,es-en,¿ Qué significa insured por fdic?,"[""1896608""]","[""1896608"", ""7688312"", ""1159597"", ""7856336"", ""7375334"", ""7148904"", ""7916202"", ""7795529"", ""7145016"", ""7808278""]",0.19999999999999996
1058885,es-en,¿ Qué está causando the constant heaving y arcadas secas?,"[""7170528""]","[""7199795"", ""7531239"", ""7471105"", ""7619606"", ""7199794"", ""7430482"", ""5099300"", ""7103054"", ""7423815"", ""588235""]",0.33333333333333337
1039189,es-en,¿ Quién es la actriz del equipo visitante en operation Star Trek Aniquilar?,"[""7805080""]","[""7239171"", ""270380"", ""7694677"", ""3394798"", ""8005121"", ""7789644"", ""4212829"", ""7305571"", ""7872329"", ""7983669""]",0.15384615384615385
829562,es-en,¿ Cuál es el objetivo main de un partido político?,"[""3347905""]","[""3347905"", ""7245877"", ""7619857"", ""7420461"", ""7216092"", ""7102330"", ""991142"", ""7108043"", ""7567949"", ""7738446""]",0.11111111111111116
1055884,es-en,¿ Quién fue el primer autor en utilizar la sociología en their writing?,"[""67588""]","[""7763743"", ""7082559"", ""67588"", ""7914330"", ""145831"", ""7466996"", ""7435832"", ""7626411"", ""7474496"", ""7214887""]",0.16666666666666663
466830,es-en,número de protones neutrons y electrones en nitrógeno 14,"[""7709283""]","[""7709283"", ""7158898"", ""7080008"", ""7965476"", ""7217195"", ""7206592"", ""7977659"", ""3349239"", ""7495648"", ""7777896""]",0.11111111111111116
1048871,es-en,quien plays a xander de bunkd,"[""4146836""]","[""4146836"", ""7888038"", ""7858559"", ""7383642"", ""7412014"", ""7292304"", ""3394798"", ""7124323"", ""7287518"", ""7290260""]",0.16666666666666663
1085775,es-en,¿ What connection aprovechan las imágenes guiadas para transportarte profundamente,"[""7116157""]","[""7487159"", ""7115754"", ""7687498"", ""7116157"", ""7026760"", ""7111419"", ""7541371"", ""7341578"", ""7519486"", ""7167848""]",0.2222222222222222
884298,es-en,¿ What parameters afectan la relación i : e en los ventiladores?,"[""7928696"", ""7928694""]","[""7928694"", ""7861394"", ""2038018"", ""7944469"", ""7239751"", ""7244910"", ""7162750"", ""7305462"", ""7217353"", ""7358221""]",0.19999999999999996
1097199,es-en,¿ Cuántos eggs tiene una mujer?,"[""7433925""]","[""7273604"", ""7433792"", ""110910"", ""7433925"", ""7623591"", ""7992043"", ""7414499"", ""7380886"", ""7416687"", ""3748377""]",0.19999999999999996
950016,es-en,¿ Cuándo es el horario de daylight en Suiza?,"[""7754765""]","[""7754765"", ""7213529"", ""7083275"", ""7236525"", ""4484371"", ""7862783"", ""7083240"", ""7438631"", ""7809074"", ""7213810""]",0.125
337148,es-en,¿ How old debe tener your puppy para recibir la vacuna contra la rabia?,"[""7389316""]","[""7389316"", ""7974596"", ""7076146"", ""7312387"", ""3041398"", ""2951555"", ""7493757"", ""7073109"", ""7311939"", ""7700487""]",0.3076923076923077
733241,es-en,lo que se considered vestimenta,"[""1699500""]","[""7933515"", ""7069399"", ""7555333"", ""7649080"", ""7355625"", ""889435"", ""7773595"", ""7430773"", ""7689562"", ""7826945""]",0.19999999999999996
576898,es-en,¿ Cuáles son las wars por las que se fought más comúnmente?,"[""7598385""]","[""7899750"", ""7742103"", ""7081759"", ""7405220"", ""3970387"", ""7084529"", ""3429513"", ""7214220"", ""7829864"", ""7146913""]",0.18181818181818177
617306,es-en,que deficiency produce mancha blanca en las uñas,"[""7502930""]","[""7122052"", ""7493514"", ""1903885"", ""7502930"", ""4948097"", ""7573009"", ""5200958"", ""7471105"", ""2760399"", ""7945552""]",0.125
1064470,es-en,¿ Por qué los huevos se vuelven brown?,"[""7728289""]","[""7728289"", ""7442410"", ""7510610"", ""7872590"", ""7380886"", ""7332142"", ""7196833"", ""7653673"", ""7399071"", ""7105534""]",0.1428571428571429
393696,es-en,"en texas, qué requisitos se needed para postularse para convertirse en broker","[""7598745""]","[""7598745"", ""7645183"", ""7714548"", ""7934632"", ""7514078"", ""7616620"", ""7531298"", ""7510067"", ""7543353"", ""7384736""]",0.16666666666666663
992193,es-en,¿ Quién coined the concept de survival del más apto? charles darwin karl marx herbert spencer max weber,"[""7280593""]","[""7280593"", ""7435832"", ""4772781"", ""7956784"", ""7912439"", ""7577963"", ""7217405"", ""7563779"", ""7259628"", ""7929116""]",0.23529411764705888
829915,es-en,¿ Cuál es la edad para contraer marriage en Kansas con el consentimiento de parental?,"[""7787972""]","[""7787972"", ""7167740"", ""7900321"", ""7790637"", ""6395661"", ""7962748"", ""7100617"", ""5194464"", ""7996617"", ""7221882""]",0.19999999999999996
987767,es-en,con quien Roy Moore lost,"[""7290624""]","[""7290624"", ""1365882"", ""7275935"", ""7289144"", ""7971459"", ""7574541"", ""7645327"", ""7593959"", ""7966632"", ""7285551""]",0.19999999999999996
299128,es-en,cuántas unidades de water por mes,"[""6720313""]","[""6720313"", ""7776376"", ""7461178"", ""7297131"", ""7438982"", ""7364616"", ""7471198"", ""7439924"", ""7563235"", ""684240""]",0.16666666666666663
814132,es-en,cuál es el limit diario de sodio,"[""7951365""]","[""714998"", ""7951365"", ""7837801"", ""2304767"", ""7567998"", ""7370392"", ""7083542"", ""1460244"", ""7515703"", ""3545260""]",0.1428571428571429
874257,es-en,¿ Qué recurso literario utiliza the author para describir el atraco de johnny a los forasteros?,"[""7867405""]","[""7867405"", ""7204388"", ""7907059"", ""7645562"", ""7152217"", ""7681560"", ""3789036"", ""7292841"", ""7845360"", ""7793907""]",0.1333333333333333
868598,es-en,¿ Qué notas necesitas para ser hygienist dental?,"[""7743190""]","[""7863564"", ""7743190"", ""7360526"", ""7360530"", ""7901950"", ""7697006"", ""6348579"", ""7267535"", ""7944021"", ""7690834""]",0.1428571428571429
1071609,es-en,¿ Por qué el ruido es un problem?,"[""7816796""]","[""7087019"", ""7403659"", ""7414858"", ""7816796"", ""7290198"", ""7325759"", ""7747072"", ""5561579"", ""7250048"", ""8002787""]",0.1428571428571429
663595,es-en,que genre es rob thomas,"[""7465375""]","[""7465375"", ""7580483"", ""7290399"", ""7687708"", ""7884823"", ""7689707"", ""7971459"", ""7845737"", ""7357232"", ""7511201""]",0.19999999999999996
1062203,es-en,¿ Por qué Brad Pitt y Angelina Jolie se divorce?,"[""7569446""]","[""7569446"", ""7573749"", ""7966632"", ""489053"", ""7340726"", ""7859734"", ""7284753"", ""7864039"", ""7535439"", ""7307861""]",0.11111111111111116
182644,es-en,examples de síntomas de abstinencia de drogas,"[""7935405""]","[""7140020"", ""7935405"", ""7615041"", ""7486505"", ""7683174"", ""7173651"", ""7525733"", ""4920146"", ""7759718"", ""7135691""]",0.1428571428571429
931029,es-en,¿ Cuál es el size promedio de pepino?,"[""7812195""]","[""7812195"", ""7096154"", ""7926379"", ""7277294"", ""7846964"", ""7350855"", ""7695693"", ""8002555"", ""7236918"", ""7318783""]",0.1428571428571429
924580,es-en,de que se hace el whisky de wheat,"[""7853738"", ""7853736""]","[""7853738"", ""7853736"", ""7077056"", ""7232337"", ""6666760"", ""7986348"", ""1539468"", ""7949132"", ""7089128"", ""1676911""]",0.125
837702,es-en,¿ Qué es lo opuesto al helium?,"[""7799527""]","[""7799527"", ""644710"", ""7145855"", ""7965476"", ""7217535"", ""2988522"", ""7551719"", ""7448417"", ""7515977"", ""7263791""]",0.16666666666666663
1033156,es-en,¿ Cuál es el real nombre del jefe maestro?,"[""7212940""]","[""1285360"", ""7231956"", ""7287029"", ""7284160"", ""7226965"", ""7181095"", ""7972112"", ""7121598"", ""7958566"", ""7212940""]",0.125
1079185,es-en,¿ Qué pasa cuando una corporación se disuelve y has deudas?,"[""53048""]","[""53048"", ""7397256"", ""6417290"", ""7943121"", ""3242324"", ""7282233"", ""5999199"", ""7883166"", ""7241543"", ""7838074""]",0.09999999999999998
171534,es-en,¿ Algún automóvil use aire acondicionado para help a descongelar?,"[""7385189""]","[""7385189"", ""7211972"", ""7067759"", ""7106893"", ""7215725"", ""7630433"", ""7629794"", ""7969449"", ""7127554"", ""7544748""]",0.2222222222222222
838500,es-en,¿ Cómo se llama la parte de tu brazo donde extraen blood?,"[""4707882""]","[""4707882"", ""7630376"", ""7706332"", ""7561515"", ""7342887"", ""7320539"", ""7330328"", ""7342775"", ""7273733"", ""7979212""]",0.09090909090909094
361285,es-en,cómo quitar la mancha de orina de gato de carpet,"[""7401706""]","[""7401706"", ""8000759"", ""3464191"", ""7980571"", ""7392272"", ""7211336"", ""7072465"", ""7910955"", ""7085272"", ""4147645""]",0.18181818181818177
1074603,es-en,por qué usar videos para marketing y promotions,"[""7845422""]","[""7845422"", ""7380009"", ""7482263"", ""613301"", ""7544522"", ""5400265"", ""7656121"", ""7803595"", ""7659801"", ""7236210""]",0.125
931783,es-en,¿ Cuál es la diferencia entre la autoimagen y self concept?,"[""7830900""]","[""7830900"", ""7164081"", ""7104622"", ""7552122"", ""7192480"", ""7696309"", ""7850739"", ""7461776"", ""7158575"", ""795122""]",0.19999999999999996
1096025,es-en,¿ Cuánto paga el estado a nurses en md?,"[""7541711""]","[""7959134"", ""7463865"", ""7195763"", ""7447492"", ""7541711"", ""7658002"", ""7310747"", ""7361787"", ""363604"", ""7825985""]",0.2222222222222222
1037612,es-en,cual es la length de un armadillo,"[""7205573""]","[""7601989"", ""7460416"", ""7601992"", ""7334481"", ""7205573"", ""7594460"", ""7374886"", ""7217353"", ""7370061"", ""7447712""]",0.1428571428571429
1004565,es-en,¿ Cuándo comienza el festival de comida y wine en epcot?,"[""7255591""]","[""7255591"", ""7375794"", ""7116824"", ""7884647"", ""7629808"", ""7813102"", ""7091281"", ""7980047"", ""7257190"", ""7914114""]",0.09999999999999998
630172,es-en,¿ Qué mean un anillo en el dedo medio?,"[""7469958""]","[""7534457"", ""7469958"", ""7830330"", ""7308987"", ""7553085"", ""7785056"", ""7151598"", ""7610400"", ""7091104"", ""7199248""]",0.125
650157,es-en,¿ Qué dice the expression eres un buen huevo?,"[""7453899""]","[""7453899"", ""7244486"", ""7674619"", ""7783462"", ""7523816"", ""7217535"", ""7681560"", ""7675212"", ""7837826"", ""7134705""]",0.25
1031761,es-en,cual es la estructura de una cola de horsetail,"[""7215190""]","[""7275572"", ""7251229"", ""7229117"", ""7561994"", ""7188052"", ""7467345"", ""7632606"", ""5976199"", ""7178887"", ""7239045""]",0.11111111111111116
339855,es-en,¿ Qué tan pronto debe an employee informar una lesión en Michigan?,"[""7359547""]","[""7359547"", ""7640131"", ""7399340"", ""7877769"", ""7420870"", ""7354468"", ""3161368"", ""7342116"", ""7474233"", ""7928070""]",0.18181818181818177
1006724,es-en,¿ Cuándo fue el día de independence de Tailandia?,"[""7252753""]","[""7252753"", ""7802832"", ""621218"", ""4110699"", ""7253793"", ""7739212"", ""157342"", ""3052765"", ""7079772"", ""6141957""]",0.2222222222222222
411367,es-en,¿ Google está blocked en China?,"[""7633642""]","[""7633642"", ""7697631"", ""7594105"", ""7774273"", ""7418884"", ""7813011"", ""7163245"", ""7479235"", ""7740986"", ""7188975""]",0.19999999999999996
839488,es-en,cuál es el plural de kohlrabies,"[""7866009""]","[""7441373"", ""7079778"", ""7355625"", ""7449450"", ""7519834"", ""1499775"", ""7382828"", ""7841202"", ""7730141"", ""7980359""]",0.16666666666666663
1087202,es-en,¿ Cuáles son los symptoms de un nivel bajo de sangre?,"[""7103722""]","[""7449503"", ""7103722"", ""7273847"", ""7657649"", ""5184014"", ""1541418"", ""7522664"", ""7979212"", ""7949214"", ""2760399""]",0.09999999999999998
1058513,es-en,para que se used el dojo de clase,"[""7171329""]","[""7171329"", ""7743723"", ""3789036"", ""7244486"", ""7341578"", ""7539908"", ""7420334"", ""1639706"", ""7657551"", ""7180273""]",0.125
1054949,es-en,que es friends de la biblioteca,"[""7177052""]","[""7177052"", ""7794580"", ""7217535"", ""7799131"", ""7705565"", ""7510035"", ""7116824"", ""7177292"", ""7548696"", ""7440642""]",0.16666666666666663
190380,es-en,alimentos para keep sanas las encías,"[""5092256""]","[""7379859"", ""5092256"", ""3308241"", ""7942753"", ""7234862"", ""7490179"", ""7152055"", ""7361261"", ""7325125"", ""7410279""]",0.16666666666666663
739554,es-en,cual es la diferencia entre understand y captar,"[""7456010"", ""7044609""]","[""7376225"", ""7456010"", ""7956784"", ""7850739"", ""7242846"", ""7244486"", ""7970049"", ""7553085"", ""7044609"", ""7730141""]",0.125
1059812,es-en,cuya face está en el dinero,"[""7290835""]","[""7824636"", ""7843298"", ""7939548"", ""7290835"", ""7171283"", ""7841152"", ""7196698"", ""7602350"", ""7530341"", ""7501447""]",0.16666666666666663
1071161,es-en,¿ Qué es una estrategia larga en finance?,"[""7157744""]","[""7145016"", ""7100389"", ""7309316"", ""7108763"", ""7375334"", ""7193967"", ""7434472"", ""7188993"", ""7690834"", ""7536026""]",0.1428571428571429
69065,es-en,¿ Puedo obtener my my plates con un permiso de conducir?,"[""7392067""]","[""7257114"", ""7392067"", ""7097756"", ""7126829"", ""7712968"", ""7770548"", ""7856336"", ""7127124"", ""7369999"", ""7619087""]",0.2222222222222222
831034,es-en,¿ Cuál es el significado de fruta cuando se referring a cualquier planta con flores?,"[""2077415""]","[""2077415"", ""7662692"", ""458748"", ""7626107"", ""7484648"", ""7255023"", ""6834791"", ""7133887"", ""7280749"", ""7896365""]",0.0714285714285714
1002373,es-en,¿ Dónde fue para tus ojos solo filmed?,"[""7747666""]","[""7747666"", ""7076366"", ""7272184"", ""7912657"", ""7835634"", ""7089128"", ""6541514"", ""7225891"", ""7815183"", ""7651740""]",0.1428571428571429
609707,es-en,¿ En qué county está Montello?,"[""7690114""]","[""7690114"", ""7661663"", ""7509565"", ""1746856"", ""7817457"", ""7770997"", ""7539400"", ""7119794"", ""7617936"", ""2208454""]",0.19999999999999996
393420,es-en,en la historia que es una esfera de influence,"[""7689572""]","[""7940767"", ""7689572"", ""7582814"", ""7938552"", ""7157142"", ""7164845"", ""7704866"", ""7676270"", ""7192456"", ""7798251""]",0.11111111111111116
1084596,es-en,¿ Qué necesitas para tags en el coche?,"[""7126829""]","[""7550490"", ""7126829"", ""7132332"", ""7508018"", ""450426"", ""7389973"", ""1167724"", ""7561994"", ""7148345"", ""7778314""]",0.25
1041656,es-en,¿ Cuál es la definición de fellowship en ayuda financiera?,"[""7199394""]","[""7466552"", ""7199394"", ""7859593"", ""7802155"", ""151534"", ""7206551"", ""7133842"", ""7193960"", ""6417801"", ""7410255""]",0.11111111111111116
1097283,es-en,¿ Cuántos días pasó king en la cárcel por protestar en Birmingham?,"[""7426908""]","[""7426908"", ""7895995"", ""7856053"", ""7498046"", ""7497729"", ""7368942"", ""7097226"", ""3037266"", ""5989698"", ""7293897""]",0.16666666666666663
166528,es-en,¿ use ftp la carpeta appdata?,"[""7373623""]","[""7517040"", ""7167848"", ""7373623"", ""7869800"", ""7103122"", ""7092822"", ""7261645"", ""240868"", ""7863547"", ""7877816""]",0.19999999999999996
988720,es-en,quien es el singer original de chicago,"[""7287922""]","[""7287922"", ""7725656"", ""6313463"", ""6666759"", ""7920427"", ""7874665"", ""7910138"", ""7952481"", ""7642166"", ""7090895""]",0.1428571428571429
1093928,es-en,¿ Es el iphone x resistente al waterproof o water?,"[""7711108""]","[""7711108"", ""7994286"", ""7388471"", ""7841624"", ""7550534"", ""7539993"", ""7145012"", ""7304125"", ""7223944"", ""7471105""]",0.30000000000000004
735175,es-en,lo que es costo y flete en terms,"[""7522344""]","[""7922855"", ""7522344"", ""7391075"", ""159767"", ""7197956"", ""7132220"", ""7134119"", ""7674273"", ""7441725"", ""7778098""]",0.125
289276,es-en,cuántos miligramos de ritalin should take un adulto,"[""7559170""]","[""7644707"", ""7443875"", ""8005631"", ""7559170"", ""7089376"", ""7798574"", ""7772677"", ""7370392"", ""7970049"", ""7567998""]",0.25
1092946,es-en,Beneficios de las velas de cera de abejas y oil de coco.,"[""7791376""]","[""7085986"", ""7610842"", ""7318261"", ""7807927"", ""7731176"", ""7601153"", ""7232377"", ""7238461"", ""7384636"", ""7187312""]",0.08333333333333337
988779,es-en,quien es el leader de bahamas,"[""7287698""]","[""7287698"", ""6141957"", ""7146494"", ""7697006"", ""7774001"", ""7862625"", ""7078672"", ""7286430"", ""7290399"", ""7287014""]",0.16666666666666663
823310,es-en,cuál es la función general de vitamin c,"[""4092416""]","[""7751031"", ""1374083"", ""7457408"", ""4092416"", ""7076988"", ""7768495"", ""7955062"", ""7242265"", ""7190387"", ""4039657""]",0.2222222222222222
657264,es-en,que ended con la discriminación de género,"[""1727593""]","[""635313"", ""7665730"", ""1727593"", ""3037266"", ""7443839"", ""7244486"", ""7819761"", ""3161368"", ""7245052"", ""7510067""]",0.1428571428571429
209713,es-en,¿ Qué tan big será un chiweenie?,"[""7330021""]","[""7330021"", ""7594460"", ""7601989"", ""7846964"", ""7620832"", ""7384624"", ""7727953"", ""7541207"", ""7360261"", ""7334481""]",0.16666666666666663
1017537,es-en,qué hacer como guardia de security cuando estás solo en un lugar,"[""7237531""]","[""7237531"", ""7748512"", ""7856003"", ""7158575"", ""7630665"", ""7697631"", ""7942458"", ""7174531"", ""7476396"", ""7098058""]",0.08333333333333337
1101486,es-en,diferencia entre la red y connectivity del servidor,"[""7830658""]","[""7830658"", ""7327220"", ""7877816"", ""7814829"", ""1563923"", ""7520000"", ""7697631"", ""7115754"", ""7548512"", ""7230286""]",0.2222222222222222
1048297,es-en,costo del nivel de trastes y setup,"[""7187801""]","[""7922855"", ""8004916"", ""1439346"", ""7077521"", ""7456999"", ""7187801"", ""6663248"", ""7966512"", ""159767"", ""7890333""]",0.1428571428571429
383469,es-en,como entrenar a tu perro para que do trucos youtube,"[""7522587""]","[""7522587"", ""7124699"", ""7312387"", ""7517018"", ""7488959"", ""7952808"", ""7187607"", ""7173790"", ""7341578"", ""6960059""]",0.09999999999999998
1022253,es-en,which type de variable manipula el investigador?,"[""7779110""]","[""896966"", ""7166781"", ""7487159"", ""7927712"", ""7532795"", ""7498811"", ""7327220"", ""3789036"", ""7092822"", ""7779110""]",0.2857142857142857
1010810,es-en,en que año come kingpin,"[""7246941""]","[""7286222"", ""7643222"", ""8007473"", ""7477995"", ""7996594"", ""7323578"", ""7897425"", ""7824465"", ""7827487"", ""7288002""]",0.19999999999999996
994071,es-en,¿ Qué caso legal forced a the university de Maryland a admit a un estudiante afroamericano en su facultad de derecho?,"[""7275935""]","[""7275935"", ""7245052"", ""7290198"", ""7272812"", ""7346319"", ""7246746"", ""7743891"", ""7284271"", ""7248906"", ""7876355""]",0.19999999999999996
1041454,es-en,¿ Cuál es la definition de captura de pantalla?,"[""7199649""]","[""7199649"", ""7901711"", ""7506157"", ""4902384"", ""7969478"", ""4883777"", ""7881518"", ""7577342"", ""7216073"", ""1557854""]",0.125
1003000,es-en,cuando se construyó grenier field en nh,"[""7258738""]","[""7258738"", ""7939551"", ""7749434"", ""7953024"", ""7952374"", ""7458323"", ""7439881"", ""7966309"", ""7268109"", ""7940767""]",0.25
1097736,es-en,cuánto tiempo para obtener el reembolso de idaho después de its processed,"[""7391855""]","[""7391855"", ""7318237"", ""7901388"", ""7354468"", ""4005338"", ""2206887"", ""7351928"", ""7261118"", ""7594819"", ""2378778""]",0.16666666666666663
814021,es-en,¿ Cuál es el número de servicio al customer de Amazon?,"[""148297"", ""1787021""]","[""4790280"", ""148297"", ""1787021"", ""7889109"", ""7078615"", ""7674518"", ""7541989"", ""7275747"", ""7458356"", ""5086557""]",0.09999999999999998
382452,es-en,cómo enseñar a my children a organizar su habitación,"[""7503201""]","[""7503201"", ""7538425"", ""7715404"", ""7251481"", ""7341578"", ""7550051"", ""7797742"", ""7703193"", ""7709699"", ""7611197""]",0.2222222222222222
1101968,es-en,¿ Por qué should drink una taza de agua por cada taza de café?,"[""7410755""]","[""7410755"", ""737886"", ""7959387"", ""7325550"", ""7741307"", ""7461776"", ""1987259"", ""7396071"", ""7880490"", ""7364616""]",0.15384615384615385
1096006,es-en,cuánto make uber al año,"[""7543662""]","[""7543662"", ""324034"", ""7904969"", ""7068733"", ""7180663"", ""7619863"", ""7596916"", ""7436325"", ""7460188"", ""7517605""]",0.19999999999999996
380145,es-en,cómo mostrar el código fuente para an view de Oracle,"[""7701732""]","[""7701732"", ""7965128"", ""7072264"", ""7099448"", ""7548790"", ""7092822"", ""7130429"", ""7984546"", ""7801020"", ""7202654""]",0.19999999999999996
1043615,es-en,cual es la star mas brillante?,"[""7196980""]","[""4487969"", ""7935393"", ""7196980"", ""7935390"", ""4984619"", ""7869208"", ""7366591"", ""7285220"", ""7188505"", ""7802322""]",0.16666666666666663
234932,es-en,cómo los jubilados felices pasan their time,"[""7077191"", ""7077188""]","[""7077191"", ""7256779"", ""7731349"", ""7376784"", ""7508806"", ""7077188"", ""7221688"", ""3648572"", ""7619175"", ""7142650""]",0.2857142857142857
887599,es-en,qué pokemon can you catch en pokemon esmeralda,"[""7945986""]","[""2402791"", ""7893280"", ""7924808"", ""7357948"", ""7230083"", ""7509610"", ""7810634"", ""7657551"", ""7424055"", ""7205573""]",0.2857142857142857
